train_size,test_rmse,train_rmse,expert_l2_device,max_expert_l2,gate_l2,bound
8000,0.21532239019870758,0.1892583668231964,"[10.763168334960938, 4.5266594886779785, 6.5065131187438965, 9.510361671447754]",10.763168334960938,0.3713597357273102,0.5781755497596106
16000,0.1378520280122757,0.12200570851564407,"[3.9570024013519287, 4.924585819244385, 17.66657066345215, 8.543867111206055]",17.66657066345215,0.3846958875656128,0.47251716884236633
24000,0.14214734733104706,0.12927696108818054,"[21.04623794555664, 4.711643218994141, 13.7427978515625, 4.285098552703857]",21.04623794555664,0.36795634031295776,0.40907950217012545
32000,0.10361618548631668,0.09458717703819275,"[4.11677885055542, 4.656585216522217, 6.087886333465576, 23.01949691772461]",23.01949691772461,0.3823617398738861,0.3707471557280948
40000,0.10595166683197021,0.09807609766721725,"[3.7203288078308105, 4.711686611175537, 26.797882080078125, 14.7437105178833]",26.797882080078125,0.3849388659000397,0.34212220463085197
48000,0.09224463254213333,0.08568675816059113,"[4.314810752868652, 25.809494018554688, 4.130423069000244, 6.393743991851807]",25.809494018554688,0.3820774257183075,0.3188353782162617
56000,0.09279279410839081,0.08643605560064316,"[3.9880242347717285, 26.601287841796875, 12.210294723510742, 4.393280982971191]",26.601287841796875,0.391422301530838,0.301356486807652
64000,0.08575168997049332,0.08024656027555466,"[5.051852703094482, 28.869657516479492, 4.459283351898193, 4.463207244873047]",28.869657516479492,0.3846386671066284,0.28592179182903904
72000,0.08615812659263611,0.08078369498252869,"[29.508960723876953, 5.099665641784668, 21.2427978515625, 3.884183168411255]",29.508960723876953,0.40803828835487366,0.2746473742786492
80000,0.07946255058050156,0.07484064996242523,"[31.11458396911621, 4.479389667510986, 4.599642753601074, 5.484814167022705]",31.11458396911621,0.3931383788585663,0.2627049183811
88000,0.08136579394340515,0.07687092572450638,"[4.697448253631592, 3.704352617263794, 33.647857666015625, 26.483585357666016]",33.647857666015625,0.41084855794906616,0.25419316870142755
96000,0.07570149004459381,0.0717923641204834,"[34.58209228515625, 5.412734508514404, 4.485214710235596, 4.544583797454834]",34.58209228515625,0.3927075266838074,0.24459886191652835
104000,0.07730560004711151,0.07329174131155014,"[3.8261795043945312, 40.321041107177734, 5.1815185546875, 20.480926513671875]",40.321041107177734,0.4108292758464813,0.23821457727714837
112000,0.07278960943222046,0.06925088912248611,"[5.463335037231445, 36.90727615356445, 4.45936393737793, 4.7506585121154785]",36.90727615356445,0.39588937163352966,0.230250642879157
120000,0.07388663291931152,0.07041939347982407,"[38.73707962036133, 3.9489614963531494, 7.2699785232543945, 5.271251678466797]",38.73707962036133,0.3901043236255646,0.22376177394695485
128000,0.07274725288152695,0.06934387236833572,"[35.7805061340332, 3.913029909133911, 5.174611568450928, 32.00897979736328]",35.7805061340332,0.41614675521850586,0.2189941577001605
136000,0.07157411426305771,0.06843738257884979,"[4.956982612609863, 37.12540817260742, 37.56777572631836, 3.9010632038116455]",37.56777572631836,0.4145658016204834,0.2137009587901778
144000,0.06840724498033524,0.0654735341668129,"[6.03488302230835, 4.64716100692749, 42.81085968017578, 4.437884330749512]",42.81085968017578,0.3952009379863739,0.20824073231539383
152000,0.06750502437353134,0.06457586586475372,"[42.644493103027344, 5.237635135650635, 5.383127689361572, 4.416053295135498]",42.644493103027344,0.39566561579704285,0.2037063730858292
160000,0.06764663010835648,0.06497403234243393,"[6.49477481842041, 44.9411735534668, 6.007714748382568, 4.248046875]",44.9411735534668,0.39932650327682495,0.1997290474912328
168000,0.06689412146806717,0.06430602818727493,"[4.370884418487549, 43.20637512207031, 5.586128234863281, 4.751715183258057]",43.20637512207031,0.39588961005210876,0.19556065211031537
176000,0.06535071134567261,0.06278098374605179,"[5.112557888031006, 5.753243446350098, 4.222901344299316, 46.08476257324219]",46.08476257324219,0.3977770507335663,0.1920538436298256
184000,0.06708119064569473,0.06456740200519562,"[9.276907920837402, 44.01274871826172, 4.876685619354248, 4.100581169128418]",44.01274871826172,0.3904493451118469,0.1882121814741715
192000,0.06610075384378433,0.06362613290548325,"[14.157540321350098, 42.836856842041016, 4.137518882751465, 4.537175178527832]",42.836856842041016,0.38719382882118225,0.18477143045327823
200000,0.06365194916725159,0.06136469915509224,"[4.847952842712402, 4.401171684265137, 5.682467937469482, 46.65583038330078]",46.65583038330078,0.39754658937454224,0.18220799187410758
208000,0.06361595541238785,0.06133498623967171,"[4.468373775482178, 5.839853286743164, 4.809584617614746, 46.58110046386719]",46.58110046386719,0.39665302634239197,0.17924284273268926
216000,0.06378260254859924,0.06156865879893303,"[5.55009651184082, 4.135200500488281, 5.414092540740967, 45.92976379394531]",45.92976379394531,0.3830079436302185,0.17596889719878117
224000,0.06195773184299469,0.059802185744047165,"[4.81567907333374, 5.983616828918457, 4.42250394821167, 47.793331146240234]",47.793331146240234,0.3967128396034241,0.17386672043767742
232000,0.06574543565511703,0.06350305676460266,"[4.230626106262207, 52.85232925415039, 4.373497009277344, 13.732312202453613]",52.85232925415039,0.37253886461257935,0.1707029374083498
240000,0.06191037967801094,0.059877485036849976,"[48.83135223388672, 4.708801746368408, 4.418501853942871, 6.742482662200928]",48.83135223388672,0.3984384536743164,0.16904280943980302
248000,0.06179327517747879,0.05975202098488808,"[48.39697265625, 6.7278313636779785, 4.460375785827637, 4.720926761627197]",48.39697265625,0.3959154486656189,0.16665879857171398
256000,0.06071541830897331,0.05876826122403145,"[4.395716667175293, 5.4728007316589355, 49.64693069458008, 4.7776875495910645]",49.64693069458008,0.3961242437362671,0.1645141613183736
264000,0.061238326132297516,0.05937974527478218,"[4.3370490074157715, 7.530852317810059, 49.58893585205078, 4.721348762512207]",49.58893585205078,0.3950565755367279,0.1623822698907268
272000,0.06014857813715935,0.05832281336188316,"[49.56657791137695, 4.607553005218506, 4.496877670288086, 5.658376216888428]",49.56657791137695,0.39359554648399353,0.16032700096374372
280000,0.060057345777750015,0.05822509154677391,"[6.152940273284912, 4.713010787963867, 4.458365440368652, 49.79991149902344]",49.79991149902344,0.39670372009277344,0.15849448694684798
288000,0.059683095663785934,0.05801984295248985,"[4.570459365844727, 4.512234210968018, 5.668699264526367, 50.133670806884766]",50.133670806884766,0.393189400434494,0.15654623786818922
296000,0.06168626621365547,0.05981564521789551,"[3.898622751235962, 5.049627780914307, 39.7714958190918, 51.6235466003418]",51.6235466003418,0.4194818437099457,0.15552364783833827
304000,0.058784499764442444,0.05709974467754364,"[50.3206901550293, 5.600025653839111, 4.755674362182617, 4.477106094360352]",50.3206901550293,0.39573758840560913,0.15311796351892626
312000,0.05842255428433418,0.05676037073135376,"[4.669292449951172, 4.411008358001709, 51.20660400390625, 6.2074713706970215]",51.20660400390625,0.39642202854156494,0.15150146839998194
320000,0.058864396065473557,0.057219021022319794,"[4.810125827789307, 6.468759059906006, 50.928470611572266, 4.365044116973877]",50.928470611572266,0.3975057899951935,0.14992191138210026
328000,0.06019284576177597,0.058421310037374496,"[4.228729724884033, 4.562918663024902, 45.61363983154297, 43.93397521972656]",45.61363983154297,0.4021995961666107,0.14835340634692173
336000,0.05807808041572571,0.05656208470463753,"[4.760908603668213, 5.788522243499756, 4.4758782386779785, 51.035667419433594]",51.035667419433594,0.39598286151885986,0.1468422598409602
344000,0.05802813544869423,0.05645984038710594,"[49.72114944458008, 4.732007026672363, 7.137840747833252, 4.460194110870361]",49.72114944458008,0.3958932161331177,0.14536027179718797
352000,0.057889971882104874,0.05625003203749657,"[56.113670349121094, 32.631595611572266, 5.146975040435791, 3.973767042160034]",56.113670349121094,0.4165663421154022,0.14462602257842347
360000,0.057633016258478165,0.056223876774311066,"[51.3770866394043, 4.450874328613281, 6.119807720184326, 4.784381866455078]",51.3770866394043,0.3955062925815582,0.14263541571594524
368000,0.05765191838145256,0.056067921221256256,"[46.4511604309082, 5.178299903869629, 47.05671691894531, 3.893749952316284]",47.05671691894531,0.4204276502132416,0.14181278661018762
376000,0.057385724037885666,0.05597856268286705,"[4.512955188751221, 4.750225067138672, 6.641727924346924, 51.808292388916016]",51.808292388916016,0.3956632614135742,0.14005813044305246
384000,0.05712075158953667,0.05561413615942001,"[20.79417610168457, 64.22638702392578, 5.968448162078857, 3.543513298034668]",64.22638702392578,0.40268778800964355,0.13924552794374268
392000,0.05671059712767601,0.05536885932087898,"[52.030635833740234, 5.83017110824585, 4.692736625671387, 4.430415153503418]",52.030635833740234,0.39545488357543945,0.1376157852976523
400000,0.056341107934713364,0.055018652230501175,"[4.424036979675293, 52.38679122924805, 4.6962785720825195, 5.732926368713379]",52.38679122924805,0.39577096700668335,0.13646154920739426
408000,0.05646274983882904,0.05497105047106743,"[50.07893371582031, 5.139758586883545, 3.909865140914917, 44.441837310791016]",50.07893371582031,0.42119139432907104,0.13584785665417123
416000,0.05596958100795746,0.05467713251709938,"[5.611282825469971, 52.54052734375, 4.474695205688477, 4.795072078704834]",52.54052734375,0.3954862356185913,0.13421354023655888
424000,0.056535571813583374,0.0552726648747921,"[52.89533233642578, 4.762289524078369, 4.421967506408691, 5.796237468719482]",52.89533233642578,0.39548859000205994,0.13314353543087543
432000,0.05747629329562187,0.056163638830184937,"[4.122246265411377, 11.989133834838867, 5.069786548614502, 52.735321044921875]",52.735321044921875,0.39893433451652527,0.13216818924393786
440000,0.05614368990063667,0.05493207648396492,"[6.1828413009643555, 4.230389595031738, 54.639869689941406, 5.124166488647461]",54.639869689941406,0.3930005431175232,0.13105078658129174
