train_size,test_rmse,train_rmse,expert_l2_device,max_expert_l2,gate_l2,bound
8000,0.19258415699005127,0.18499647080898285,"[9.714693069458008, 1.8386951684951782, 1.9170641899108887, 8.527782440185547]",9.714693069458008,0.4375365972518921,0.25991533640631226
16000,0.15218573808670044,0.14702117443084717,"[1.5800062417984009, 6.572474479675293, 13.998363494873047, 5.3495893478393555]",13.998363494873047,0.4498586654663086,0.1969227473616907
24000,0.125285342335701,0.12232742458581924,"[1.7595350742340088, 7.975790977478027, 5.542102336883545, 17.83690071105957]",17.83690071105957,0.44697415828704834,0.16667390575104676
32000,0.10030677914619446,0.09828837215900421,"[21.141891479492188, 4.194536209106445, 1.740940809249878, 4.82140588760376]",21.141891479492188,0.44402822852134705,0.14783420152217938
40000,0.09674712270498276,0.09471114724874496,"[11.90230941772461, 1.5993402004241943, 5.648420810699463, 18.359052658081055]",18.359052658081055,0.44504261016845703,0.13382918041795608
48000,0.08010970056056976,0.07829160988330841,"[1.5428681373596191, 24.16446304321289, 7.108923435211182, 7.263724327087402]",24.16446304321289,0.44587376713752747,0.12440061248291821
56000,0.07688720524311066,0.0749891847372055,"[25.328882217407227, 3.3459105491638184, 18.888154983520508, 1.850234031677246]",25.328882217407227,0.45038944482803345,0.11647914931476352
64000,0.0754830613732338,0.07361415028572083,"[30.199668884277344, 7.042423248291016, 7.682019233703613, 1.7680927515029907]",30.199668884277344,0.44896209239959717,0.11025667288147215
72000,0.06650320440530777,0.06538573652505875,"[6.596884250640869, 3.7209725379943848, 34.29986572265625, 1.8941822052001953]",34.29986572265625,0.44745999574661255,0.10495930381391377
80000,0.07157881557941437,0.07066409289836884,"[16.995464324951172, 1.932192087173462, 17.376007080078125, 31.856576919555664]",31.856576919555664,0.458170086145401,0.1001529139478201
88000,0.06164255365729332,0.060665063560009,"[39.973026275634766, 6.291701316833496, 8.309257507324219, 1.7762820720672607]",39.973026275634766,0.447160542011261,0.09637193367476735
96000,0.06572835892438889,0.06489454209804535,"[32.67181396484375, 9.761125564575195, 30.857810974121094, 1.7817720174789429]",32.67181396484375,0.4663667678833008,0.09252785668314685
104000,0.056981127709150314,0.05597883090376854,"[1.844645619392395, 42.265769958496094, 7.702449321746826, 4.710232257843018]",42.265769958496094,0.4573163092136383,0.0896876829344114
112000,0.0533481240272522,0.05244230851531029,"[1.889548659324646, 7.897958278656006, 6.089426517486572, 43.500450134277344]",43.500450134277344,0.45645561814308167,0.0868331101283635
120000,0.05248023942112923,0.051500510424375534,"[11.920673370361328, 8.327227592468262, 1.8298617601394653, 48.71321105957031]",48.71321105957031,0.4557033181190491,0.08439086863679038
128000,0.05181179568171501,0.05099218711256981,"[4.291037082672119, 40.8905143737793, 1.793506383895874, 30.412145614624023]",40.8905143737793,0.45646142959594727,0.08174458394882674
136000,0.051233209669589996,0.05048055201768875,"[7.157864093780518, 1.971514105796814, 48.12004470825195, 7.303641319274902]",48.12004470825195,0.45527148246765137,0.07980588507498126
144000,0.045641008764505386,0.04476187750697136,"[11.968348503112793, 52.75708770751953, 1.7392113208770752, 8.219240188598633]",52.75708770751953,0.4549250900745392,0.07793175685197094
152000,0.04681779071688652,0.04581617936491966,"[2.0791735649108887, 6.420552730560303, 55.74791717529297, 3.3183352947235107]",55.74791717529297,0.44962364435195923,0.07612180556335571
