train_size,test_rmse,train_rmse,expert_l2_device,max_expert_l2,gate_l2,bound
8000,0.16501595079898834,0.15148887038230896,"[2.0115280151367188, 2.8814139366149902, 3.843993663787842, 8.083849906921387]",8.083849906921387,0.37993666529655457,0.3387444010783
16000,0.13350357115268707,0.12519697844982147,"[3.8815975189208984, 1.9627735614776611, 6.662875175476074, 8.177422523498535]",8.177422523498535,0.4019180238246918,0.2572695755788749
24000,0.10688179731369019,0.10175100713968277,"[9.354576110839844, 1.9553625583648682, 11.991344451904297, 2.531280994415283]",11.991344451904297,0.4068663418292999,0.2201247235177095
32000,0.09410709142684937,0.09026212990283966,"[9.531366348266602, 3.5677506923675537, 2.003441095352173, 15.399906158447266]",15.399906158447266,0.4108142554759979,0.19648471006916626
40000,0.08455104380846024,0.08108045905828476,"[2.2938311100006104, 11.749932289123535, 2.428429365158081, 17.257884979248047]",17.257884979248047,0.41692841053009033,0.1794034814550714
48000,0.0710809975862503,0.06773872673511505,"[2.3441715240478516, 5.188606262207031, 3.203956127166748, 20.603342056274414]",20.603342056274414,0.41572052240371704,0.16667074096628354
56000,0.06660010665655136,0.0636214092373848,"[20.846214294433594, 3.4833881855010986, 2.3564460277557373, 2.804783821105957]",20.846214294433594,0.4123391807079315,0.1559933666277073
64000,0.061561405658721924,0.058771342039108276,"[3.498185634613037, 19.4761962890625, 14.39814281463623, 2.01593017578125]",19.4761962890625,0.4381520450115204,0.14746607541904277
72000,0.06102535128593445,0.0584292933344841,"[2.3299782276153564, 24.361774444580078, 11.285752296447754, 5.955377101898193]",24.361774444580078,0.4275164306163788,0.14071016151048624
80000,0.05787377431988716,0.055500321090221405,"[18.941181182861328, 28.20426368713379, 3.4867892265319824, 2.287039279937744]",28.20426368713379,0.4509674608707428,0.13518465180374256
88000,0.05703248083591461,0.055153001099824905,"[5.092728137969971, 22.385534286499023, 3.003600835800171, 4.0235748291015625]",22.385534286499023,0.41505199670791626,0.12857965957366355
96000,0.04966902360320091,0.04759234935045242,"[27.228988647460938, 3.5236098766326904, 2.47989821434021, 7.550191879272461]",27.228988647460938,0.4298773407936096,0.12452468491625066
104000,0.04892507195472717,0.04707211256027222,"[29.782251358032227, 3.2396655082702637, 2.463198661804199, 4.458743572235107]",29.782251358032227,0.42223450541496277,0.12039288556501823
112000,0.04632547125220299,0.044351521879434586,"[2.4436850547790527, 32.517364501953125, 2.9783804416656494, 5.3385539054870605]",32.517364501953125,0.43268346786499023,0.116894464967246
120000,0.04490024223923683,0.04318789020180702,"[31.49227523803711, 4.217263221740723, 2.3291256427764893, 13.02955436706543]",31.49227523803711,0.4328228235244751,0.11334465103779642
128000,0.04375356435775757,0.042123716324567795,"[4.882246971130371, 4.33486270904541, 36.30225372314453, 2.4440691471099854]",36.30225372314453,0.43543288111686707,0.11053488388422664
136000,0.041095733642578125,0.039659615606069565,"[2.60701584815979, 4.070806980133057, 8.732621192932129, 33.7677116394043]",33.7677116394043,0.4313078820705414,0.10743289724311005
144000,0.04036650061607361,0.03900237753987312,"[2.447359800338745, 3.8101470470428467, 36.05636215209961, 3.6616873741149902]",36.05636215209961,0.4321887791156769,0.10491799412259104
152000,0.03888263553380966,0.03748009353876114,"[3.058035135269165, 2.6307737827301025, 36.66773986816406, 4.566076278686523]",36.66773986816406,0.4276164472103119,0.1024443599559364
160000,0.039422400295734406,0.038022805005311966,"[2.4080846309661865, 34.1104736328125, 4.088437557220459, 32.30008316040039]",34.1104736328125,0.46071115136146545,0.10031139046827675
168000,0.03964845463633537,0.03830035403370857,"[15.087629318237305, 34.54659652709961, 4.143803596496582, 2.4034433364868164]",34.54659652709961,0.4295423924922943,0.09793080358795046
176000,0.03529404103755951,0.034057553857564926,"[3.782214403152466, 2.636944055557251, 40.44041442871094, 4.184123992919922]",40.44041442871094,0.4277593493461609,0.09622638521025142
184000,0.03784165158867836,0.03665779531002045,"[43.44072341918945, 2.60249400138855, 5.198200225830078, 16.858055114746094]",43.44072341918945,0.436175137758255,0.09456088257166646
192000,0.03535578399896622,0.034318212419748306,"[39.03765869140625, 2.3549070358276367, 4.377808094024658, 24.985584259033203]",39.03765869140625,0.4503330588340759,0.09272226799457772
200000,0.03499696031212807,0.03372260555624962,"[44.78229904174805, 2.3229639530181885, 14.388002395629883, 4.548549652099609]",44.78229904174805,0.4394686818122864,0.09121958934357725
208000,0.035328879952430725,0.03413090109825134,"[43.25505447387695, 4.620686054229736, 2.4999499320983887, 9.851693153381348]",43.25505447387695,0.427320659160614,0.08949442075303592
216000,0.0333687961101532,0.03237227350473404,"[46.095115661621094, 2.537114381790161, 3.8268895149230957, 7.602403163909912]",46.095115661621094,0.4281814992427826,0.08812601367837171
224000,0.03207438066601753,0.031217938289046288,"[4.097922325134277, 48.19120788574219, 3.6107592582702637, 2.7190983295440674]",48.19120788574219,0.4280238449573517,0.08678996276226976
232000,0.03229242190718651,0.031480807811021805,"[4.497452735900879, 20.886873245239258, 48.369022369384766, 2.2539963722229004]",48.369022369384766,0.45193880796432495,0.08563182526839037
240000,0.03224123641848564,0.03145051747560501,"[2.5501086711883545, 55.60205078125, 8.60822582244873, 3.740194320678711]",55.60205078125,0.43490147590637207,0.08445218772708156
248000,0.03081906959414482,0.029795359820127487,"[2.2350642681121826, 3.584362268447876, 53.24916458129883, 28.261152267456055]",53.24916458129883,0.45471465587615967,0.0833026006669993
256000,0.031457386910915375,0.030663998797535896,"[22.74315643310547, 2.4364233016967773, 45.83002471923828, 5.035821914672852]",45.83002471923828,0.44931674003601074,0.08187062519772349
264000,0.031417034566402435,0.030657529830932617,"[41.86432647705078, 2.438636302947998, 41.98573303222656, 4.040270805358887]",41.98573303222656,0.462467223405838,0.08071438265504553
272000,0.03322763368487358,0.0326627716422081,"[2.6448471546173096, 6.644591331481934, 44.817874908447266, 19.209970474243164]",44.817874908447266,0.4391760230064392,0.0795946835464915
280000,0.030363120138645172,0.029525093734264374,"[3.3540282249450684, 54.607234954833984, 4.0409393310546875, 2.538614511489868]",54.607234954833984,0.43652117252349854,0.07884520547189058
288000,0.03322318568825722,0.03273603320121765,"[23.102741241455078, 2.6037020683288574, 11.660243034362793, 28.457483291625977]",28.457483291625977,0.43078652024269104,0.07688922344929068
296000,0.031037962064146996,0.030541524291038513,"[3.4011833667755127, 38.777740478515625, 2.5482890605926514, 4.371016025543213]",38.777740478515625,0.42828819155693054,0.07638280057759833
304000,0.02960478700697422,0.02902751974761486,"[49.544921875, 12.846202850341797, 6.990044593811035, 2.63330340385437]",49.544921875,0.4391154944896698,0.07589293978052873
312000,0.028677212074398994,0.027976682409644127,"[3.5343356132507324, 9.279454231262207, 58.45582580566406, 2.6760289669036865]",58.45582580566406,0.43420618772506714,0.07521536817501494
320000,0.027393322438001633,0.02674954943358898,"[4.15304708480835, 4.187654495239258, 2.7797741889953613, 55.39459991455078]",55.39459991455078,0.43426749110221863,0.07429944230098816
328000,0.029026594012975693,0.028298061341047287,"[8.969345092773438, 50.797767639160156, 8.643826484680176, 2.5015153884887695]",50.797767639160156,0.4463502764701843,0.07344401608607395
336000,0.027445020154118538,0.026731062680482864,"[57.74070739746094, 2.630476951599121, 3.947343587875366, 3.9102113246917725]",57.74070739746094,0.430536687374115,0.07273255660570666
344000,0.02680782787501812,0.02611653320491314,"[64.70213317871094, 2.556225061416626, 2.2743079662323, 28.562423706054688]",64.70213317871094,0.43528813123703003,0.07214843184647629
352000,0.02627161145210266,0.025724127888679504,"[59.196659088134766, 4.940892696380615, 2.7938194274902344, 3.3202974796295166]",59.196659088134766,0.43169495463371277,0.07127726429073912
360000,0.026315368711948395,0.02569594606757164,"[3.937300682067871, 54.40288162231445, 2.6219446659088135, 3.9828457832336426]",54.40288162231445,0.43315812945365906,0.07046790171539932
