train_size,test_rmse,train_rmse,expert_l2_device,max_expert_l2,gate_l2,bound
8000,0.20682702958583832,0.17483900487422943,"[2.9334769248962402, 5.162365436553955, 10.307609558105469, 4.490676403045654]",10.307609558105469,0.408916711807251,0.5120086015979833
16000,0.13603533804416656,0.11678854376077652,"[2.668785333633423, 11.876908302307129, 12.375611305236816, 3.3014564514160156]",12.375611305236816,0.3966130316257477,0.399108306199461
24000,0.12905724346637726,0.1143464669585228,"[6.743588924407959, 7.691822528839111, 2.5948081016540527, 13.181872367858887]",13.181872367858887,0.38691672682762146,0.34177859581206393
32000,0.10405425727367401,0.093347929418087,"[2.807101011276245, 12.500402450561523, 18.23907470703125, 3.8470075130462646]",18.23907470703125,0.40718749165534973,0.3089967970908019
40000,0.10022269189357758,0.09166035801172256,"[12.14866828918457, 21.5026912689209, 3.028594970703125, 4.296613693237305]",21.5026912689209,0.40106111764907837,0.2833482385222148
48000,0.08713103830814362,0.07903546839952469,"[17.612403869628906, 2.8139028549194336, 20.933183670043945, 3.582178831100464]",20.933183670043945,0.41366690397262573,0.26380800780273206
56000,0.0823502391576767,0.07542078197002411,"[21.604700088500977, 23.759708404541016, 2.8730268478393555, 3.5458014011383057]",23.759708404541016,0.42182406783103943,0.2487615835187683
64000,0.0761178731918335,0.07023108005523682,"[5.037672996520996, 3.437211513519287, 3.9842629432678223, 27.210298538208008]",27.210298538208008,0.4160248339176178,0.23588728308228019
72000,0.0735689029097557,0.06847671419382095,"[7.854314804077148, 6.62639045715332, 3.229335308074951, 26.58895492553711]",26.58895492553711,0.41433221101760864,0.22458223248189849
80000,0.07188096642494202,0.06702037155628204,"[3.081062078475952, 17.00591468811035, 3.550116777420044, 31.722797393798828]",31.722797393798828,0.4130164086818695,0.2156349969526365
88000,0.06724457442760468,0.06269337236881256,"[31.84514808654785, 28.184131622314453, 2.9443321228027344, 3.634429693222046]",31.84514808654785,0.43011367321014404,0.2078607282821438
96000,0.07242543250322342,0.06838350743055344,"[27.146778106689453, 3.5121560096740723, 20.07390785217285, 3.433540105819702]",27.146778106689453,0.39752405881881714,0.1988783063556202
104000,0.06362621486186981,0.05979664996266365,"[28.326242446899414, 3.2101659774780273, 3.8222224712371826, 27.061668395996094]",28.326242446899414,0.42695435881614685,0.19340787046535746
112000,0.06379782408475876,0.06033673882484436,"[3.8930704593658447, 38.677616119384766, 3.1439433097839355, 17.173105239868164]",38.677616119384766,0.41638821363449097,0.18814778967710352
120000,0.05916476249694824,0.055780697613954544,"[3.2326834201812744, 3.378990411758423, 33.18882369995117, 38.72492980957031]",38.72492980957031,0.4294285476207733,0.18314053808856218
128000,0.05825366824865341,0.055045489221811295,"[27.246810913085938, 32.45855712890625, 3.6824581623077393, 3.204238176345825]",32.45855712890625,0.4285019338130951,0.17771243859451522
136000,0.05628984048962593,0.05353627726435661,"[3.776414632797241, 39.001014709472656, 3.6982221603393555, 4.101362228393555]",39.001014709472656,0.41334033012390137,0.1733391417184077
144000,0.05497298389673233,0.05208619683980942,"[42.123172760009766, 3.3180782794952393, 4.575481414794922, 3.88494610786438]",42.123172760009766,0.418998658657074,0.1695524822864742
152000,0.05452553555369377,0.05181219428777695,"[3.4790027141571045, 41.35929870605469, 3.3580918312072754, 21.149349212646484]",41.35929870605469,0.42720842361450195,0.16586919969980887
160000,0.05420571193099022,0.051581889390945435,"[12.479606628417969, 3.090909242630005, 44.117923736572266, 3.8718769550323486]",44.117923736572266,0.41873401403427124,0.16226421228374316
168000,0.05361625924706459,0.05132909119129181,"[7.7619099617004395, 44.33489227294922, 3.868786573410034, 3.320258617401123]",44.33489227294922,0.41266241669654846,0.15881112054170848
176000,0.055694758892059326,0.053376760333776474,"[11.217379570007324, 28.867902755737305, 9.92309856414795, 3.416940212249756]",28.867902755737305,0.4174991250038147,0.15480825562431208
184000,0.052677642554044724,0.050611209124326706,"[32.89518737792969, 3.3654212951660156, 18.4228572845459, 3.5539166927337646]",32.89518737792969,0.41074562072753906,0.15206478237993304
192000,0.049524955451488495,0.04734146222472191,"[3.665480136871338, 44.6013298034668, 26.698007583618164, 3.169451951980591]",44.6013298034668,0.4309938848018646,0.15044385561528392
200000,0.049171775579452515,0.04701782017946243,"[16.73430061340332, 3.2928450107574463, 4.649070739746094, 39.959495544433594]",39.959495544433594,0.4276719391345978,0.14754154544818346
208000,0.04891732707619667,0.04683912172913551,"[3.304321050643921, 44.300392150878906, 29.869781494140625, 3.525327205657959]",44.300392150878906,0.43310004472732544,0.14541817330268056
216000,0.04725492373108864,0.045255955308675766,"[50.019256591796875, 3.963438034057617, 3.9831650257110596, 3.7294020652770996]",50.019256591796875,0.4112129807472229,0.14291289162529153
224000,0.04717300832271576,0.04506835341453552,"[54.817447662353516, 3.509629964828491, 23.134733200073242, 3.2225825786590576]",54.817447662353516,0.42895156145095825,0.14123542492994132
232000,0.04953242093324661,0.04784717410802841,"[3.7678685188293457, 44.700836181640625, 3.691657304763794, 6.802785873413086]",44.700836181640625,0.41281357407569885,0.13841681749479015
240000,0.045703597366809845,0.04388013109564781,"[3.5779693126678467, 5.351310729980469, 3.6752371788024902, 51.686832427978516]",51.686832427978516,0.42329925298690796,0.13690118987013883
248000,0.045765917748212814,0.04394913464784622,"[3.5726428031921387, 3.676501512527466, 4.491125583648682, 53.86831283569336]",53.86831283569336,0.4179565906524658,0.13497069857040905
256000,0.04551751911640167,0.04363468661904335,"[58.56471252441406, 3.595323324203491, 3.246100664138794, 39.91017532348633]",58.56471252441406,0.4364795982837677,0.13362522310346955
264000,0.044306106865406036,0.04250749945640564,"[48.466217041015625, 3.5022342205047607, 3.2433314323425293, 47.58488845825195]",48.466217041015625,0.43440091609954834,0.13148457390304485
272000,0.05631560459733009,0.05468008667230606,"[6.47646427154541, 28.865407943725586, 5.268410682678223, 11.463688850402832]",28.865407943725586,0.4015718400478363,0.1282894052495689
280000,0.045702170580625534,0.04404491186141968,"[9.145793914794922, 3.491286277770996, 63.90983581542969, 3.5050010681152344]",63.90983581542969,0.40065470337867737,0.128114655002594
288000,0.04452149569988251,0.042926762253046036,"[43.595027923583984, 3.2372350692749023, 10.741494178771973, 12.689059257507324]",43.595027923583984,0.42695048451423645,0.12634491078703558
296000,0.04353523626923561,0.041941650211811066,"[6.825416564941406, 4.22420597076416, 50.17847442626953, 3.5007526874542236]",50.17847442626953,0.4247865378856659,0.12507147348716532
304000,0.04275508224964142,0.04088960215449333,"[4.2590155601501465, 14.248852729797363, 3.004368543624878, 61.10129928588867]",61.10129928588867,0.4088868498802185,0.12371757293982574
312000,0.05164344236254692,0.05028237774968147,"[3.3348488807678223, 22.5102596282959, 18.610239028930664, 22.307666778564453]",22.5102596282959,0.40443694591522217,0.1205787494927055
320000,0.04151449352502823,0.03996718302369118,"[4.42732572555542, 3.368112325668335, 52.9644660949707, 6.048282146453857]",52.9644660949707,0.4206882417201996,0.12096149598509214
328000,0.041929539293050766,0.040414098650217056,"[44.69895935058594, 3.587900161743164, 3.420836925506592, 23.387405395507812]",44.69895935058594,0.4297897517681122,0.11954159144556707
336000,0.04116019234061241,0.039785612374544144,"[54.108638763427734, 3.5935299396514893, 4.130989074707031, 3.9790170192718506]",54.108638763427734,0.416729211807251,0.1184128542030251
344000,0.041528113186359406,0.03996775671839714,"[3.3623273372650146, 61.720184326171875, 3.3818798065185547, 45.30479049682617]",61.720184326171875,0.4337060749530792,0.11767626372282411
352000,0.040631234645843506,0.03923321142792702,"[6.013896465301514, 3.6945648193359375, 3.655883312225342, 57.66648864746094]",57.66648864746094,0.4213498532772064,0.11622407897909355
360000,0.04075009003281593,0.03916904702782631,"[3.1773734092712402, 31.697769165039062, 72.34789276123047, 3.686509132385254]",72.34789276123047,0.43719810247421265,0.11567612494809129
368000,0.04063262417912483,0.039255399256944656,"[50.57616424560547, 23.170394897460938, 3.341344118118286, 3.4731523990631104]",50.57616424560547,0.4292074739933014,0.11392151560508174
376000,0.04284055531024933,0.041472163051366806,"[4.029639720916748, 10.014180183410645, 3.450979709625244, 58.12418746948242]",58.12418746948242,0.4225892126560211,0.11298133050646368
384000,0.041449397802352905,0.040107499808073044,"[21.16335105895996, 3.4040307998657227, 4.010194778442383, 37.244232177734375]",37.244232177734375,0.42709168791770935,0.11135396882022396
392000,0.04035535454750061,0.038988180458545685,"[3.4330265522003174, 3.3317816257476807, 29.46611976623535, 49.82617950439453]",49.82617950439453,0.43166202306747437,0.11085690109998352
400000,0.04030000418424606,0.03885631263256073,"[6.447823524475098, 3.2866361141204834, 3.671064615249634, 67.00029754638672]",67.00029754638672,0.4127977788448334,0.11006073309138446
408000,0.03964046761393547,0.03823629766702652,"[3.4998514652252197, 11.244007110595703, 3.6080706119537354, 54.71542739868164]",54.71542739868164,0.42683809995651245,0.10901989760854487
416000,0.039478596299886703,0.038164522498846054,"[17.77822494506836, 3.7559189796447754, 3.3939661979675293, 53.404205322265625]",53.404205322265625,0.42915722727775574,0.10810112585833653
424000,0.04036969691514969,0.03901427239179611,"[65.84978485107422, 5.686319828033447, 3.450864791870117, 3.6494622230529785]",65.84978485107422,0.410020649433136,0.10724866246379466
432000,0.03886076435446739,0.03757018595933914,"[55.08952331542969, 8.035926818847656, 3.310264825820923, 4.254120826721191]",55.08952331542969,0.4158245921134949,0.10621090962743134
440000,0.03897717222571373,0.03765511512756348,"[3.2651638984680176, 3.634864091873169, 75.99713897705078, 31.373554229736328]",75.99713897705078,0.43748408555984497,0.10608969795709204
448000,0.038858216255903244,0.03755827620625496,"[51.59310531616211, 3.402174949645996, 3.380303144454956, 35.368221282958984]",51.59310531616211,0.43211865425109863,0.10466623068120952
456000,0.03883052617311478,0.037471067160367966,"[3.428727626800537, 49.275394439697266, 66.36415100097656, 3.233499765396118]",66.36415100097656,0.4379728138446808,0.10427583235074249
464000,0.03806058689951897,0.03687070682644844,"[3.3782200813293457, 56.01457595825195, 8.106295585632324, 3.500023603439331]",56.01457595825195,0.41153955459594727,0.10292959716968997
472000,0.03922533988952637,0.03811157867312431,"[5.742660999298096, 3.5090901851654053, 4.614994049072266, 60.66377258300781]",60.66377258300781,0.41115742921829224,0.10226792427895191
480000,0.03717935457825661,0.03606502339243889,"[3.7559947967529297, 57.55481719970703, 4.175472736358643, 3.5962159633636475]",57.55481719970703,0.41492125391960144,0.1015013139665706
488000,0.041034650057554245,0.03987628594040871,"[5.819321155548096, 13.43932819366455, 35.6519775390625, 3.50829815864563]",35.6519775390625,0.4205653667449951,0.1002190331875732
496000,0.03726436197757721,0.036150623112916946,"[3.532393455505371, 4.6876301765441895, 3.662116765975952, 56.33507537841797]",56.33507537841797,0.421668142080307,0.10011797663525869
504000,0.03779018297791481,0.03663163259625435,"[3.458404541015625, 4.842837810516357, 58.969791412353516, 3.961528778076172]",58.969791412353516,0.41533446311950684,0.0994035003872341
512000,0.0383666455745697,0.037425924092531204,"[3.399026393890381, 3.841721296310425, 20.742338180541992, 44.33709716796875]",44.33709716796875,0.41262930631637573,0.09832860438719178
520000,0.03855595365166664,0.03745836764574051,"[65.72501373291016, 3.616915702819824, 3.438218593597412, 9.251065254211426]",65.72501373291016,0.4197540283203125,0.09824767898590674
528000,0.037032146006822586,0.035896170884370804,"[17.95085334777832, 3.556781768798828, 54.956939697265625, 3.3767287731170654]",54.956939697265625,0.42943599820137024,0.09748639270065235
536000,0.03796543926000595,0.03697028383612633,"[31.874897003173828, 3.42046856880188, 44.23394775390625, 3.6444942951202393]",44.23394775390625,0.4195532202720642,0.09646571028664226
544000,0.037003714591264725,0.03583560511469841,"[3.2160120010375977, 3.6710619926452637, 34.72980880737305, 85.33869171142578]",85.33869171142578,0.43556347489356995,0.09683017362563236
552000,0.037422023713588715,0.036339689046144485,"[52.815391540527344, 7.783894062042236, 4.596272945404053, 3.413846254348755]",52.815391540527344,0.42575550079345703,0.09552347703487615
560000,0.037849221378564835,0.0367170087993145,"[62.131221771240234, 3.537703037261963, 3.864414691925049, 5.886541366577148]",62.131221771240234,0.4112052023410797,0.09495348203310192
568000,0.036505796015262604,0.035472288727760315,"[3.885775327682495, 3.422247886657715, 60.52277755737305, 5.395554542541504]",60.52277755737305,0.41842830181121826,0.0944189805306262
576000,0.03715640679001808,0.03610280156135559,"[3.663878917694092, 6.161258697509766, 3.374166965484619, 67.13041687011719]",67.13041687011719,0.41167813539505005,0.093889482579346
584000,0.03761621564626694,0.03649820759892464,"[3.6502034664154053, 6.362152099609375, 64.7950210571289, 3.5305962562561035]",64.7950210571289,0.4082731306552887,0.09324458176417783
592000,0.036958806216716766,0.035943303257226944,"[3.39849591255188, 8.918079376220703, 50.170677185058594, 7.138594627380371]",50.170677185058594,0.4256199896335602,0.09258750826728193
600000,0.03615153953433037,0.03517472371459007,"[19.648094177246094, 55.495880126953125, 3.637691020965576, 3.4196929931640625]",55.495880126953125,0.4277331531047821,0.09218574821761165
608000,0.03664005547761917,0.03554290160536766,"[3.576503276824951, 3.2819664478302, 42.140541076660156, 88.23724365234375]",88.23724365234375,0.4380236268043518,0.09229290826396726
616000,0.035530075430870056,0.034570757299661636,"[3.8602616786956787, 55.564483642578125, 3.4853720664978027, 5.269891262054443]",55.564483642578125,0.40950313210487366,0.09093336694023504
624000,0.03635351359844208,0.035338401794433594,"[63.830997467041016, 3.3622047901153564, 52.58443832397461, 3.428621530532837]",63.830997467041016,0.43387284874916077,0.09084041936574927
632000,0.03650488704442978,0.03555012494325638,"[3.372138738632202, 37.799598693847656, 52.16525650024414, 3.5586800575256348]",52.16525650024414,0.4329644739627838,0.09009913052070119
640000,0.03540075942873955,0.03441385552287102,"[3.394766330718994, 9.0225191116333, 54.978965759277344, 3.8372910022735596]",54.978965759277344,0.4262736737728119,0.089593562511063
648000,0.035739149898290634,0.034758664667606354,"[41.11869812011719, 64.27456665039062, 3.4662609100341797, 3.387369394302368]",64.27456665039062,0.43300488591194153,0.08934994642339808
656000,0.03618635609745979,0.035221200436353683,"[3.538126230239868, 68.1526107788086, 3.314791440963745, 52.061492919921875]",68.1526107788086,0.43504053354263306,0.08895570247325447
664000,0.035203151404857635,0.03429969772696495,"[3.9630675315856934, 5.7574334144592285, 54.32992935180664, 3.4743192195892334]",54.32992935180664,0.4171839952468872,0.08805366364322037
672000,0.03587936609983444,0.03493895381689072,"[65.05219268798828, 3.3483822345733643, 3.5247514247894287, 49.50270462036133]",65.05219268798828,0.43561699986457825,0.0879761327789883
680000,0.036139197647571564,0.035136476159095764,"[44.353458404541016, 3.340167999267578, 3.534034013748169, 76.52494049072266]",76.52494049072266,0.43800002336502075,0.08771866359877425
