train_size,test_rmse,train_rmse,expert_l2_device,max_expert_l2,gate_l2,bound
8000,0.164496049284935,0.15877637267112732,"[4.196841239929199, 13.15893840789795, 7.776413917541504, 2.499311923980713]",13.15893840789795,0.40752238035202026,0.30689788904383747
16000,0.13057105243206024,0.12839637696743011,"[2.6922762393951416, 8.988286972045898, 17.32668113708496, 3.954028606414795]",17.32668113708496,0.42119523882865906,0.2341771265311417
24000,0.10958748310804367,0.10673440247774124,"[2.7013843059539795, 5.224020481109619, 7.7932233810424805, 21.052637100219727]",21.052637100219727,0.41682520508766174,0.19866168572268436
32000,0.09750476479530334,0.09548204392194748,"[2.9503281116485596, 3.3137240409851074, 16.937360763549805, 24.520071029663086]",24.520071029663086,0.411676287651062,0.17646814740460476
40000,0.09274672716856003,0.09059180319309235,"[3.1885573863983154, 26.075576782226562, 4.519908905029297, 11.526015281677246]",26.075576782226562,0.4452610909938812,0.1615720914513077
48000,0.07603178173303604,0.07428508996963501,"[10.582194328308105, 2.5396921634674072, 11.336037635803223, 29.533695220947266]",29.533695220947266,0.4150899648666382,0.14919205563734006
56000,0.0745687186717987,0.07197458297014236,"[3.0476648807525635, 5.409204959869385, 20.522708892822266, 32.5474967956543]",32.5474967956543,0.44832855463027954,0.1405366256213295
64000,0.06797932833433151,0.06615886092185974,"[17.210573196411133, 2.774688720703125, 13.257369995117188, 34.06005859375]",34.06005859375,0.4396328628063202,0.13266157491662936
72000,0.06602752953767776,0.06397144496440887,"[32.196510314941406, 30.832019805908203, 3.1825084686279297, 4.850631237030029]",32.196510314941406,0.4354347586631775,0.12594964563131744
80000,0.06512491405010223,0.06389796733856201,"[26.575759887695312, 33.42748260498047, 2.927974224090576, 17.83856201171875]",33.42748260498047,0.44649702310562134,0.12059374561357504
88000,0.05984550714492798,0.05846422538161278,"[29.80031967163086, 3.2885680198669434, 36.3531608581543, 5.230276584625244]",36.3531608581543,0.4442746341228485,0.1158331450409997
96000,0.05666809156537056,0.055362265557050705,"[26.852983474731445, 4.989065170288086, 41.26762390136719, 3.188180923461914]",41.26762390136719,0.43514329195022583,0.11161900519519699
104000,0.05488864704966545,0.05387058109045029,"[2.8006157875061035, 41.36960983276367, 4.702043533325195, 26.05958366394043]",41.36960983276367,0.4009198248386383,0.10734764964618074
112000,0.05290577933192253,0.05177151411771774,"[43.02305221557617, 2.9615445137023926, 30.317760467529297, 5.434586048126221]",43.02305221557617,0.44938063621520996,0.1046321416232351
120000,0.05206013098359108,0.050813667476177216,"[3.941859245300293, 30.604719161987305, 3.3091230392456055, 42.516544342041016]",42.516544342041016,0.4261135458946228,0.10124302326210466
128000,0.05036346986889839,0.04928557574748993,"[3.1615371704101562, 44.611087799072266, 30.01742172241211, 4.056154727935791]",44.611087799072266,0.43936145305633545,0.09865509322260285
136000,0.04988032951951027,0.04872697964310646,"[42.726837158203125, 2.7724015712738037, 50.113407135009766, 4.166703701019287]",50.113407135009766,0.41729608178138733,0.09597135994803706
144000,0.04311007633805275,0.04217632859945297,"[49.253116607666016, 22.57413101196289, 2.40879487991333, 16.362751007080078]",49.253116607666016,0.4290733337402344,0.0937187716634039
152000,0.047165397554636,0.04630059748888016,"[2.989039182662964, 5.6146721839904785, 11.520498275756836, 50.15855026245117]",50.15855026245117,0.4327802062034607,0.09159107951221579
160000,0.045361392199993134,0.04441193863749504,"[40.797672271728516, 3.2124667167663574, 50.86665344238281, 5.6802802085876465]",50.86665344238281,0.45041218400001526,0.0897525658252315
168000,0.04570543020963669,0.044932033866643906,"[3.1295623779296875, 57.98725509643555, 5.709848403930664, 32.17156982421875]",57.98725509643555,0.4547296464443207,0.08803759108512133
176000,0.0430513434112072,0.04227034002542496,"[56.655582427978516, 2.9954068660736084, 35.81354904174805, 5.631904602050781]",56.655582427978516,0.4502689838409424,0.08619288864071331
184000,0.04424414411187172,0.0432807058095932,"[3.3915629386901855, 39.53953552246094, 3.3204352855682373, 54.397377014160156]",54.397377014160156,0.41472652554512024,0.0841462063425442
192000,0.04241698607802391,0.04152027145028114,"[62.30897903442383, 3.181285858154297, 5.23060941696167, 6.7599382400512695]",62.30897903442383,0.4342179000377655,0.08291125228399983
200000,0.043785009533166885,0.04278307408094406,"[17.046119689941406, 3.0263445377349854, 43.82103729248047, 53.22676086425781]",53.22676086425781,0.4436149299144745,0.08136619639515978
208000,0.04092240706086159,0.04007486626505852,"[18.331493377685547, 71.61367797851562, 19.739355087280273, 2.640139102935791]",71.61367797851562,0.4430829882621765,0.08025525722530068
216000,0.03708208352327347,0.0362694077193737,"[5.981020927429199, 75.71456146240234, 2.7041101455688477, 22.57756233215332]",75.71456146240234,0.444661945104599,0.07899789591089819
224000,0.04077262803912163,0.03976795822381973,"[53.4984130859375, 3.29241681098938, 41.474220275878906, 3.314939260482788]",53.4984130859375,0.4213752746582031,0.07722311252383109
232000,0.040682896971702576,0.03987383469939232,"[48.85973358154297, 9.793909072875977, 3.024265766143799, 60.14216995239258]",60.14216995239258,0.4595854580402374,0.07645921512739474
240000,0.03899824246764183,0.0383184552192688,"[4.93253755569458, 47.125938415527344, 63.57109832763672, 3.062741279602051]",63.57109832763672,0.4525081515312195,0.0753184022378061
248000,0.04136216267943382,0.04073035344481468,"[44.13938522338867, 3.0832505226135254, 10.717763900756836, 66.36116027832031]",66.36116027832031,0.46328285336494446,0.07435528747600749
256000,0.038300931453704834,0.03767294064164162,"[2.9554998874664307, 63.77979278564453, 6.2893242835998535, 16.539045333862305]",63.77979278564453,0.436273992061615,0.07308068461504706
264000,0.03756565973162651,0.03686051070690155,"[4.332022666931152, 67.5891342163086, 47.1784553527832, 3.209153413772583]",67.5891342163086,0.4442325532436371,0.07220381231247043
272000,0.03821103274822235,0.037505026906728745,"[56.19790267944336, 4.350196361541748, 3.183652877807617, 53.03902053833008]",56.19790267944336,0.4530448317527771,0.07116983855483973
280000,0.03284795209765434,0.03223025053739548,"[52.21784591674805, 2.540935754776001, 18.47136116027832, 70.55915069580078]",70.55915069580078,0.43664559721946716,0.07032883830085505
288000,0.03234816715121269,0.031777024269104004,"[2.7154147624969482, 20.724050521850586, 84.73080444335938, 7.075857162475586]",84.73080444335938,0.44259166717529297,0.06964733242850815
296000,0.038214102387428284,0.03752332180738449,"[2.971165895462036, 67.16534423828125, 36.43745803833008, 7.200599670410156]",67.16534423828125,0.42320385575294495,0.06848338274986604
304000,0.03236575424671173,0.031781796365976334,"[4.904369354248047, 25.75819969177246, 2.730025053024292, 87.67224884033203]",87.67224884033203,0.4486390948295593,0.06806769478253408
312000,0.03156755492091179,0.03090076707303524,"[90.95252990722656, 5.325209617614746, 23.21444320678711, 2.74220871925354]",90.95252990722656,0.44601112604141235,0.06729850492099393
320000,0.036222055554389954,0.03561525419354439,"[69.5321273803711, 5.592559814453125, 3.0560929775238037, 10.368987083435059]",69.5321273803711,0.4348577558994293,0.06626866228522385
328000,0.03086239844560623,0.030287932604551315,"[27.00432014465332, 83.26879119873047, 2.784909725189209, 14.159547805786133]",83.26879119873047,0.447692334651947,0.06576784969035938
336000,0.03765939176082611,0.03704606741666794,"[12.204273223876953, 79.07695770263672, 5.246111869812012, 3.2333638668060303]",79.07695770263672,0.4382859170436859,0.06496838017231159
344000,0.03344683349132538,0.03288944438099861,"[2.854522466659546, 83.8498764038086, 5.131391525268555, 36.46095657348633]",83.8498764038086,0.45220863819122314,0.06442641171021986
352000,0.035037774592638016,0.03440466895699501,"[72.316162109375, 3.1942005157470703, 4.746203422546387, 38.31581497192383]",72.316162109375,0.4499606192111969,0.06365227268068917
360000,0.03502324968576431,0.03439212590456009,"[70.42632293701172, 10.249772071838379, 3.0211269855499268, 6.841582298278809]",70.42632293701172,0.4388475716114044,0.06293106069390794
368000,0.032132282853126526,0.03158402070403099,"[5.753192901611328, 2.923583507537842, 36.47270584106445, 85.8709487915039]",85.8709487915039,0.45732399821281433,0.06257288959896967
376000,0.034442707896232605,0.03376036509871483,"[6.271914482116699, 76.48278045654297, 20.695110321044922, 3.0856001377105713]",76.48278045654297,0.4467109739780426,0.06183336889009538
384000,0.030362417921423912,0.029731739312410355,"[36.943626403808594, 19.25362777709961, 79.3075942993164, 2.6596765518188477]",79.3075942993164,0.44067490100860596,0.06124517840014553
