train_size,test_rmse,train_rmse,expert_l2_device,max_expert_l2,gate_l2,bound,no_of_experts_chosen,avg_gate_weights_test,avg_raw_gate_weights_test,avg_raw_entorpy_test,avg_effective_entropy_test
8000,0.24287064373493195,0.20378349721431732,"[2.788146495819092, 6.607508182525635, 2.9804816246032715, 2.826319932937622]",6.607508182525635,0.462578684091568,0.5024708859746615,1.343500018119812,"[0.3360927999019623, 0.03882800042629242, 0.3304767310619354, 0.29460254311561584]","[0.32443270087242126, 0.06888844817876816, 0.31680628657341003, 0.28987252712249756]",0.5314469337463379,0.2191590964794159
16000,0.2262672632932663,0.20295153558254242,"[5.256605625152588, 3.4094653129577637, 3.6854300498962402, 1.3599302768707275]",5.256605625152588,0.47711125016212463,0.3762169420289458,1.1992499828338623,"[0.304758757352829, 0.34271958470344543, 0.352521687746048, 0.0]","[0.30048784613609314, 0.33816835284233093, 0.34669581055641174, 0.01464798953384161]",0.37664249539375305,0.13431423902511597
24000,0.17934246361255646,0.15411615371704102,"[4.164663314819336, 3.7062931060791016, 9.941929817199707, 4.474865436553955]",9.941929817199707,0.48029589653015137,0.3229809055366142,1.1770833730697632,"[0.3426174223423004, 0.31991928815841675, 0.012418442405760288, 0.32504481077194214]","[0.33907055854797363, 0.31570231914520264, 0.025800516828894615, 0.31942659616470337]",0.3088836073875427,0.1147846207022667
32000,0.1688220053911209,0.1472530961036682,"[12.013954162597656, 5.084787368774414, 4.157292366027832, 4.105580806732178]",12.013954162597656,0.48262834548950195,0.28720318719812593,1.1566250324249268,"[0.010213764384388924, 0.3118215799331665, 0.35608863830566406, 0.32187598943710327]","[0.02225787378847599, 0.30729904770851135, 0.35241350531578064, 0.31802958250045776]",0.27833107113838196,0.10153494775295258
40000,0.16711421310901642,0.1498495191335678,"[4.504645347595215, 11.653226852416992, 5.990311145782471, 4.30267333984375]",11.653226852416992,0.48378893733024597,0.26086113597741195,1.1460000276565552,"[0.3686472177505493, 0.006020971108227968, 0.2926625907421112, 0.3326692283153534]","[0.36449792981147766, 0.01868372969329357, 0.28788062930107117, 0.3289376497268677]",0.26595789194107056,0.09422140568494797
48000,0.1515369564294815,0.13441024720668793,"[5.341811656951904, 14.593086242675781, 7.55597448348999, 4.544943332672119]",14.593086242675781,0.4857836663722992,0.24246140626981394,1.1271041631698608,"[0.35387495160102844, 0.005956239067018032, 0.29242581129074097, 0.3477429747581482]","[0.35065072774887085, 0.015515095554292202, 0.28902602195739746, 0.3448081314563751]",0.23209011554718018,0.08206762373447418
56000,0.14146913588047028,0.12557044625282288,"[16.344350814819336, 4.842772960662842, 7.255758285522461, 5.284218788146973]",16.344350814819336,0.4876980185508728,0.22742774086612577,1.108875036239624,"[0.007707155309617519, 0.3736160099506378, 0.3149586617946625, 0.3037181496620178]","[0.014719746075570583, 0.3715692162513733, 0.31204667687416077, 0.3016643524169922]",0.19635416567325592,0.07023289799690247
64000,0.14297176897525787,0.1299632340669632,"[17.832401275634766, 6.382870674133301, 8.2994384765625, 4.776986122131348]",17.832401275634766,0.4879842698574066,0.21502502214281402,1.1067343950271606,"[0.0035935125779360533, 0.30959609150886536, 0.3161393404006958, 0.3706710636615753]","[0.011086043901741505, 0.3072485327720642, 0.31310945749282837, 0.3685559332370758]",0.19831781089305878,0.06952335685491562
72000,0.14710769057273865,0.1394387185573578,"[9.45987319946289, 1.465937614440918, 8.450827598571777, 4.243287086486816]",9.45987319946289,0.48828017711639404,0.20149875529626385,1.101388931274414,"[0.2744764983654022, 0.0, 0.3172473609447479, 0.40827617049217224]","[0.27343934774398804, 0.005856608971953392, 0.3157159388065338, 0.404988169670105]",0.20168724656105042,0.06784813106060028
80000,0.14145806431770325,0.13216622173786163,"[9.798802375793457, 7.516383171081543, 8.962960243225098, 4.567435264587402]",9.798802375793457,0.48874256014823914,0.19263087700781376,1.098312497138977,"[0.0004464002849999815, 0.32657328248023987, 0.28258663415908813, 0.3903936743736267]","[0.006157788913697004, 0.32473137974739075, 0.28107592463493347, 0.3880348801612854]",0.18827691674232483,0.06425333768129349
