train_size,test_rmse,train_rmse,expert_l2_device,max_expert_l2,gate_l2,bound,no_of_experts_chosen,avg_gate_weights_test,avg_raw_gate_weights_test,avg_raw_entorpy_test,avg_effective_entropy_test
8000,0.24393269419670105,0.23211805522441864,"[4.10387659072876, 7.518488883972168, 9.559308052062988, 8.52125358581543]",9.559308052062988,0.45129144191741943,0.521812623265159,1.472000002861023,"[0.6075549125671387, 0.24688363075256348, 0.04029865190386772, 0.10526283085346222]","[0.5583786964416504, 0.23295938968658447, 0.0754084587097168, 0.13325339555740356]",0.6499581933021545,0.2838505804538727
16000,0.19985276460647583,0.19034108519554138,"[12.00912094116211, 4.405735492706299, 10.207817077636719, 9.39042854309082]",12.00912094116211,0.45922574400901794,0.4031970036893909,1.3834999799728394,"[0.23117917776107788, 0.6187531352043152, 0.08323055505752563, 0.0668371394276619]","[0.22151722013950348, 0.5806266665458679, 0.09679154306650162, 0.10106459259986877]",0.5533223748207092,0.23674023151397705
24000,0.18880537152290344,0.18185850977897644,"[11.044997215270996, 8.510702133178711, 14.23228931427002, 4.751073360443115]",14.23228931427002,0.4635801315307617,0.3446214833222592,1.3459583520889282,"[0.21594665944576263, 0.11875516921281815, 0.038526661694049835, 0.6267715692520142]","[0.20251454412937164, 0.13787786662578583, 0.06201190501451492, 0.5975956320762634]",0.4955950677394867,0.21150566637516022
32000,0.16078056395053864,0.1551651805639267,"[7.300095081329346, 15.656743049621582, 15.662081718444824, 4.165101528167725]",15.662081718444824,0.45780155062675476,0.30698862471840294,1.360124945640564,"[0.20154501497745514, 0.1058478131890297, 0.1896396428346634, 0.5029675364494324]","[0.2121787816286087, 0.11512704938650131, 0.18494804203510284, 0.48774608969688416]",0.5037335753440857,0.2330220639705658
40000,0.1630210280418396,0.15785248577594757,"[4.660038948059082, 14.633406639099121, 13.27197265625, 14.313575744628906]",14.633406639099121,0.46886828541755676,0.2807203675869073,1.281000018119812,"[0.6301842331886292, 0.18581390380859375, 0.0826437696814537, 0.10135806351900101]","[0.6091572046279907, 0.17972113192081451, 0.09691059589385986, 0.1142110750079155]",0.42227903008461,0.1758124679327011
48000,0.15280082821846008,0.14897708594799042,"[13.74551010131836, 4.639727592468262, 13.04980754852295, 23.392379760742188]",23.392379760742188,0.4683842062950134,0.26167202493495983,1.2776249647140503,"[0.0021870622877031565, 0.635794997215271, 0.2124476432800293, 0.1495702862739563]","[0.01856304332613945, 0.6167997717857361, 0.21823550760746002, 0.14640165865421295]",0.4139740765094757,0.1777934730052948
56000,0.150634303689003,0.14743882417678833,"[16.419706344604492, 15.714643478393555, 14.3369722366333, 4.905233383178711]",16.419706344604492,0.4795631468296051,0.24512692414523343,1.186589241027832,"[0.07425736635923386, 0.23226298391819, 0.0026402815710753202, 0.6908393502235413]","[0.08717644214630127, 0.223787322640419, 0.015284321270883083, 0.673751950263977]",0.3150705397129059,0.1178857833147049
64000,0.13786692917346954,0.13463789224624634,"[13.961559295654297, 5.037935733795166, 13.5631742477417, 23.264291763305664]",23.264291763305664,0.47516515851020813,0.23249262937935378,1.2268749475479126,"[0.008615950122475624, 0.6602299809455872, 0.24248060584068298, 0.08867337554693222]","[0.0246933251619339, 0.6441901326179504, 0.2364494502544403, 0.09466706216335297]",0.35075896978378296,0.14114686846733093
72000,0.1351935863494873,0.13252964615821838,"[4.953167915344238, 12.876363754272461, 13.212265014648438, 22.15072250366211]",22.15072250366211,0.4748411476612091,0.22122560333996844,1.231624960899353,"[0.6684666275978088, 0.03882446885108948, 0.25064897537231445, 0.04205991327762604]","[0.6504049897193909, 0.05837838724255562, 0.2394431084394455, 0.0517735481262207]",0.3545810282230377,0.14414767920970917
80000,0.13769184052944183,0.1353483349084854,"[16.41138458251953, 23.647743225097656, 19.675168991088867, 4.920466423034668]",23.647743225097656,0.4840029776096344,0.21208468426706525,1.142549991607666,"[0.30186086893081665, 0.008394968695938587, 0.0028143050149083138, 0.6869298219680786]","[0.2881431579589844, 0.0181879960000515, 0.01567039266228676, 0.677998423576355]",0.2650585174560547,0.09018716961145401
