train_size,test_rmse,train_rmse,expert_l2_device,max_expert_l2,gate_l2,bound,no_of_experts_chosen,avg_gate_weights_test,avg_raw_gate_weights_test,avg_raw_entorpy_test,avg_effective_entropy_test
8000,0.21431469917297363,0.1989154815673828,"[4.0866851806640625, 3.8733513355255127, 3.106374740600586, 3.653055429458618]",4.0866851806640625,0.4574827253818512,0.3726298535683876,1.3707499504089355,"[0.1581219881772995, 0.23302190005779266, 0.3866996765136719, 0.22215645015239716]","[0.16577206552028656, 0.2317562848329544, 0.3749319612979889, 0.22753968834877014]",0.5712924599647522,0.23978184163570404
16000,0.16407515108585358,0.15270279347896576,"[3.7990522384643555, 2.581129312515259, 6.244903564453125, 6.189469337463379]",6.244903564453125,0.46354520320892334,0.2820384981081836,1.3159375190734863,"[0.21002820134162903, 0.3927982449531555, 0.28340020775794983, 0.11377332359552383]","[0.20954659581184387, 0.3865686058998108, 0.28101804852485657, 0.12286676466464996]",0.4902026653289795,0.19956296682357788
24000,0.14950606226921082,0.14159579575061798,"[3.2436485290527344, 5.513087749481201, 5.8846282958984375, 4.981398105621338]",5.8846282958984375,0.472430944442749,0.23710125637725382,1.237208366394043,"[0.37995147705078125, 0.15311464667320251, 0.2212044894695282, 0.24572940170764923]","[0.3763568103313446, 0.15690317749977112, 0.22028090059757233, 0.24645912647247314]",0.38768571615219116,0.14850181341171265
32000,0.12664306163787842,0.12064611911773682,"[3.09409236907959, 5.209541320800781, 6.889708518981934, 7.893060684204102]",7.893060684204102,0.47699666023254395,0.21098483163252565,1.1996874809265137,"[0.43027859926223755, 0.2272462546825409, 0.2802751660346985, 0.06220002472400665]","[0.4247685670852661, 0.22662389278411865, 0.2780907154083252, 0.07051685452461243]",0.3426661789417267,0.1304486095905304
40000,0.13613124191761017,0.13165199756622314,"[3.1184136867523193, 1.5583488941192627, 5.251429080963135, 10.512742042541504]",10.512742042541504,0.4836304187774658,0.19283550449062764,1.1465749740600586,"[0.6215204000473022, 5.331387910700869e-06, 0.24470917880535126, 0.1337650716304779]","[0.6077314019203186, 0.015075083822011948, 0.24210137128829956, 0.13509216904640198]",0.2825433611869812,0.09474745392799377
48000,0.10576233267784119,0.10088130831718445,"[3.168318271636963, 7.561539649963379, 11.430025100708008, 5.69880485534668]",11.430025100708008,0.4820885956287384,0.17838232887496308,1.1554166078567505,"[0.513177216053009, 0.21684163808822632, 0.05382705107331276, 0.216154083609581]","[0.5080419182777405, 0.2169836312532425, 0.059715718030929565, 0.21525873243808746]",0.2696976661682129,0.10112782567739487
56000,0.09767939895391464,0.09357448667287827,"[13.273759841918945, 17.826866149902344, 5.167867183685303, 3.168395519256592]",17.826866149902344,0.48434773087501526,0.1682904185418125,1.1395893096923828,"[0.05838152766227722, 0.008004295639693737, 0.3146617114543915, 0.6189524531364441]","[0.06534796208143234, 0.014740735292434692, 0.31077104806900024, 0.6091403365135193]",0.23710764944553375,0.08836349844932556
64000,0.09308946132659912,0.08902326226234436,"[7.2320380210876465, 11.761674880981445, 3.2525386810302734, 9.24199104309082]",11.761674880981445,0.4826194941997528,0.15735006075874217,1.1514843702316284,"[0.21686367690563202, 0.058480482548475266, 0.467197448015213, 0.2574583888053894]","[0.2147553563117981, 0.06346862018108368, 0.46363264322280884, 0.2581433951854706]",0.26284751296043396,0.09824763983488083
72000,0.08869714289903641,0.08529315143823624,"[10.753397941589355, 3.2978923320770264, 9.191889762878418, 8.407075881958008]",10.753397941589355,0.4829593300819397,0.1491432539318798,1.1478193998336792,"[0.22819258272647858, 0.46639883518218994, 0.1419924795627594, 0.1634160876274109]","[0.22878395020961761, 0.4635445177555084, 0.14417970180511475, 0.16349181532859802]",0.2575404942035675,0.09581468999385834
80000,0.0945262759923935,0.09136004745960236,"[6.732841968536377, 19.359722137451172, 13.201672554016113, 3.0731418132781982]",19.359722137451172,0.49095618724823,0.1441140474518185,1.082837462425232,"[0.2632569372653961, 0.010894249193370342, 0.002372978487983346, 0.7234758734703064]","[0.2600861191749573, 0.01699458435177803, 0.008159502409398556, 0.7147597670555115]",0.15473274886608124,0.05254517123103142
88000,0.08955433964729309,0.08742938190698624,"[8.30912971496582, 15.813570022583008, 2.9414854049682617, 1.4083949327468872]",15.813570022583008,0.48843398690223694,0.13760120627568373,1.1032044887542725,"[0.23361709713935852, 0.11681947112083435, 0.6495633721351624, 0.0]","[0.23020988702774048, 0.11742507666349411, 0.6430067420005798, 0.009358279407024384]",0.19799496233463287,0.06591736525297165
96000,0.0800190195441246,0.07738640159368515,"[3.7566134929656982, 7.073602199554443, 12.356069564819336, 8.320779800415039]",12.356069564819336,0.4855852723121643,0.1317497393391604,1.1244583129882812,"[0.4108712375164032, 0.24298395216464996, 0.11619243770837784, 0.22995232045650482]","[0.4094821810722351, 0.24242642521858215, 0.11754161864519119, 0.23054978251457214]",0.22631308436393738,0.08185625821352005
104000,0.08321618288755417,0.0812249481678009,"[5.016080379486084, 4.090542793273926, 3.6065597534179688, 17.938152313232422]",17.938152313232422,0.4859860837459564,0.12806621234144763,1.1239038705825806,"[0.31095677614212036, 0.013922532089054585, 0.5386598110198975, 0.13646090030670166]","[0.307340145111084, 0.024694325402379036, 0.5321699380874634, 0.13579560816287994]",0.23235268890857697,0.08171024918556213
112000,0.07536732405424118,0.07319225370883942,"[3.1231155395507812, 18.006059646606445, 7.495758533477783, 18.138830184936523]",18.138830184936523,0.48609885573387146,0.12394806403613012,1.1215535402297974,"[0.6148386597633362, 0.0745297372341156, 0.22241340577602386, 0.08821824938058853]","[0.609548807144165, 0.07790091633796692, 0.22149978578090668, 0.09105052798986435]",0.21065935492515564,0.07799699157476425
120000,0.07304127514362335,0.07066161185503006,"[15.309266090393066, 8.589839935302734, 3.330037832260132, 10.079959869384766]",15.309266090393066,0.48750758171081543,0.11984130419601384,1.108216643333435,"[0.04657376930117607, 0.22646121680736542, 0.5351186394691467, 0.19184638559818268]","[0.04931829124689102, 0.22539231181144714, 0.5320221185684204, 0.19326728582382202]",0.1934458166360855,0.07066424190998077
128000,0.07158573716878891,0.06953246146440506,"[9.722519874572754, 16.798086166381836, 10.846819877624512, 3.2573418617248535]",16.798086166381836,0.4868856370449066,0.11664583834089723,1.1133593320846558,"[0.21424823999404907, 0.09844697266817093, 0.17993929982185364, 0.5073655247688293]","[0.215229332447052, 0.1008898988366127, 0.17914150655269623, 0.5047392249107361]",0.20161929726600647,0.07400507479906082
136000,0.07017052173614502,0.06789862364530563,"[18.00836181640625, 9.166121482849121, 7.689271450042725, 3.595651865005493]",18.00836181640625,0.4876405596733093,0.11369111285865967,1.1068528890609741,"[0.11643176525831223, 0.2211053967475891, 0.2341228872537613, 0.42833995819091797]","[0.11761987209320068, 0.22037531435489655, 0.23470675945281982, 0.42729803919792175]",0.19378431141376495,0.06944840401411057
144000,0.0722443163394928,0.07040198892354965,"[10.152315139770508, 7.541180610656738, 7.4354352951049805, 7.373908519744873]",10.152315139770508,0.4880079925060272,0.10968012918775269,1.103541612625122,"[0.2823692262172699, 0.2425415962934494, 0.272766649723053, 0.20232254266738892]","[0.2824675440788269, 0.2421109825372696, 0.27255815267562866, 0.20286332070827484]",0.18855570256710052,0.0674375668168068
152000,0.06812918186187744,0.06599795073270798,"[9.878456115722656, 3.336331367492676, 20.013208389282227, 9.399388313293457]",20.013208389282227,0.48854056000709534,0.10840463761021947,1.0991052389144897,"[0.19494466483592987, 0.5313945412635803, 0.05584637075662613, 0.21781441569328308]","[0.1962067186832428, 0.529175341129303, 0.05783343315124512, 0.21678456664085388]",0.1796429306268692,0.06498289853334427
160000,0.06598731130361557,0.06433212757110596,"[3.4525179862976074, 11.269497871398926, 8.727779388427734, 17.132091522216797]",17.132091522216797,0.4890650808811188,0.10566088190408145,1.0949125289916992,"[0.5171513557434082, 0.19631679356098175, 0.2333104908466339, 0.05322140455245972]","[0.5149742960929871, 0.19732175767421722, 0.2323482781648636, 0.05535568296909332]",0.17091408371925354,0.06199797987937927
168000,0.07476168870925903,0.07261436432600021,"[24.898181915283203, 12.672598838806152, 18.270139694213867, 3.064007043838501]",24.898181915283203,0.4914422929286957,0.10408872532560713,1.0747023820877075,"[0.0010560968657955527, 0.16331829130649567, 0.1356436163187027, 0.6999820470809937]","[0.003336579306051135, 0.1647086888551712, 0.1364433765411377, 0.6955114006996155]",0.13831397891044617,0.047933660447597504
176000,0.07682695984840393,0.07481693476438522,"[1.0463206768035889, 29.731592178344727, 2.8442559242248535, 19.359994888305664]",29.731592178344727,0.4952276051044464,0.10228798210612856,1.0413579940795898,"[0.0, 0.0011012734612450004, 0.7862198352813721, 0.21267880499362946]","[0.0027334948536008596, 0.0028530547861009836, 0.7831926345825195, 0.21122078597545624]",0.08498041331768036,0.027163855731487274
184000,0.06844881922006607,0.06741902232170105,"[3.4376766681671143, 15.228058815002441, 6.987340450286865, 1.4970169067382812]",15.228058815002441,0.49042144417762756,0.09906970075196758,1.0851249694824219,"[0.5463403463363647, 0.1762232780456543, 0.27743637561798096, 0.0]","[0.542945921421051, 0.17524300515651703, 0.2743636667728424, 0.007447406649589539]",0.16736549139022827,0.055314041674137115
