train_size,test_rmse,train_rmse,expert_l2_device,max_expert_l2,gate_l2,bound,no_of_experts_chosen,avg_gate_weights_test,avg_raw_gate_weights_test,avg_raw_entorpy_test,avg_effective_entropy_test
136000,0.06039488688111305,0.05714412406086922,"[6.448749542236328, 3.2814345359802246, 12.793354988098145, 21.49791717529297]",21.49791717529297,0.4930402338504791,0.06118926691820735,1.0594412088394165,"[0.00034431309904903173, 0.7611245512962341, 0.12421347945928574, 0.11431771516799927]","[0.0011254152050241828, 0.7574009299278259, 0.1260097175836563, 0.11546392738819122]",0.11410728842020035,0.03891536965966225
144000,0.045751672238111496,0.04409557580947876,"[25.43682289123535, 16.362430572509766, 3.0885162353515625, 5.5886383056640625]",25.43682289123535,0.4903513193130493,0.05977165249209922,1.0818264484405518,"[0.14801448583602905, 0.015711709856987, 0.49361440539360046, 0.3426593840122223]","[0.14743492007255554, 0.017422152683138847, 0.4911688268184662, 0.3439740538597107]",0.1524757444858551,0.05347324162721634
152000,0.04461491107940674,0.04218355566263199,"[23.71478843688965, 19.387779235839844, 2.514082670211792, 16.223852157592773]",23.71478843688965,0.4936152696609497,0.058272703027704854,1.0545921325683594,"[0.14338886737823486, 0.04842733219265938, 0.7913354635238647, 0.01684834621846676]","[0.1425609141588211, 0.05159839987754822, 0.787499189376831, 0.018341440707445145]",0.1063549593091011,0.03626928851008415
160000,0.05326595529913902,0.05141033977270126,"[1.2938801050186157, 2.6071054935455322, 21.079376220703125, 27.2629451751709]",27.2629451751709,0.4934212267398834,0.057054139518768886,1.0576750040054321,"[0.0, 0.7774425148963928, 0.17423370480537415, 0.04832378774881363]","[0.0052839238196611404, 0.773459792137146, 0.17192351818084717, 0.04933283105492592]",0.11684876680374146,0.03694675862789154
168000,0.04381342604756355,0.04220123589038849,"[15.66929817199707, 23.874053955078125, 2.523071765899658, 18.771556854248047]",23.874053955078125,0.4944538176059723,0.05569437324317262,1.0476131439208984,"[0.016985420137643814, 0.14478597044944763, 0.8208784461021423, 0.017350180074572563]","[0.018388571217656136, 0.144052192568779, 0.8175361752510071, 0.020023122429847717]",0.09203154593706131,0.03103192150592804
176000,0.047531381249427795,0.04614397510886192,"[2.5666327476501465, 26.82792854309082, 24.311450958251953, 2.1269314289093018]",26.82792854309082,0.4938018321990967,0.05462528220967313,1.0535510778427124,"[0.7796913981437683, 0.04332471638917923, 0.17698390781879425, 0.0]","[0.7769449353218079, 0.04564782604575157, 0.17414914071559906, 0.0032581237610429525]",0.11038918793201447,0.03435079753398895
184000,0.053985871374607086,0.05246247351169586,"[24.40673065185547, 9.120723724365234, 9.451460838317871, 5.345076560974121]",24.40673065185547,0.4933585822582245,0.053454662410585704,1.0566630363464355,"[0.13002759218215942, 0.17873983085155487, 0.0003641957009676844, 0.6908684372901917]","[0.13066864013671875, 0.17978538572788239, 0.000767742283642292, 0.688778281211853]",0.10802683234214783,0.0372859388589859
192000,0.05544029176235199,0.05361400544643402,"[8.711042404174805, 4.465116500854492, 1.3472617864608765, 25.693876266479492]",25.693876266479492,0.4929502010345459,0.052470251192622566,1.0610312223434448,"[0.3554951250553131, 0.5335370898246765, 0.0, 0.11096777021884918]","[0.35341179370880127, 0.531287431716919, 0.003511805785819888, 0.11178898066282272]",0.12447287142276764,0.03999292477965355
200000,0.05244728922843933,0.05076788738369942,"[1.4996200799942017, 13.290254592895508, 30.09796905517578, 3.2098193168640137]",30.09796905517578,0.49333328008651733,0.05162925662303221,1.0577750205993652,"[0.0, 0.24920737743377686, 0.09193255007266998, 0.6588600873947144]","[0.0034056466538459063, 0.24682730436325073, 0.09307175874710083, 0.6566953063011169]",0.11924945563077927,0.03831641003489494
208000,0.04143597185611725,0.03968743979930878,"[25.720413208007812, 29.086776733398438, 2.457303762435913, 23.126541137695312]",29.086776733398438,0.49463513493537903,0.050694037495236696,1.046014428138733,"[0.016140049323439598, 0.027294861152768135, 0.8025606274604797, 0.1540045291185379]","[0.01782280206680298, 0.028496991842985153, 0.8003028035163879, 0.1533774584531784]",0.08699744939804077,0.02980581857264042
