train_size,test_rmse,train_rmse,expert_l2_device,max_expert_l2,gate_l2,bound,no_of_experts_chosen,avg_gate_weights_test,avg_raw_gate_weights_test,avg_raw_entorpy_test,avg_effective_entropy_test
8000,0.2979854345321655,0.28013986349105835,"[4.150540351867676, 4.462092399597168, 5.6986613273620605, 6.040557384490967]",6.040557384490967,0.4635083079338074,0.43684616224552486,1.3427499532699585,"[0.39377257227897644, 0.4700491428375244, 0.12955889105796814, 0.0066194380633533]","[0.37102124094963074, 0.4461526870727539, 0.1382077932357788, 0.04461822286248207]",0.5475451350212097,0.21271733939647675
16000,0.22963738441467285,0.21899229288101196,"[5.92742395401001, 6.071796894073486, 5.177218437194824, 4.437949180603027]",6.071796894073486,0.45868027210235596,0.3303533364097786,1.356874942779541,"[0.24394235014915466, 0.15886548161506653, 0.3066910207271576, 0.2905011475086212]","[0.24584271013736725, 0.16911105811595917, 0.3011329174041748, 0.2839133143424988]",0.5416332483291626,0.22896821796894073
24000,0.2091086208820343,0.20134209096431732,"[7.3148016929626465, 4.232997417449951, 4.982559680938721, 8.433201789855957]",8.433201789855957,0.46481040120124817,0.28138838612149264,1.3053333759307861,"[0.31064844131469727, 0.2169373780488968, 0.3274610638618469, 0.14495310187339783]","[0.3032808005809784, 0.22263242304325104, 0.3220788240432739, 0.15200795233249664]",0.4889875650405884,0.19888459146022797
32000,0.17283985018730164,0.16639867424964905,"[14.246320724487305, 5.205245018005371, 13.488341331481934, 5.208395481109619]",14.246320724487305,0.47275879979133606,0.2518842568593303,1.2400312423706055,"[0.08320148289203644, 0.3922681212425232, 0.0941924899816513, 0.43033793568611145]","[0.09117209166288376, 0.3828214108943939, 0.10396002233028412, 0.4220464825630188]",0.3667542040348053,0.1545342057943344
40000,0.1689709573984146,0.16467365622520447,"[4.792957782745361, 14.82178783416748, 4.9179863929748535, 5.615716934204102]",14.82178783416748,0.4693422317504883,0.22925669211096916,1.2695250511169434,"[0.2606174349784851, 0.07489459961652756, 0.3047555983066559, 0.35973238945007324]","[0.26499879360198975, 0.0844738706946373, 0.2978949546813965, 0.3526323735713959]",0.4275999963283539,0.17265109717845917
48000,0.15543343126773834,0.1506265550851822,"[5.161027431488037, 13.831610679626465, 4.893564701080322, 16.158105850219727]",16.158105850219727,0.4787963926792145,0.21268708970481973,1.1878957748413086,"[0.4402479827404022, 0.03986288607120514, 0.4406515657901764, 0.07923758029937744]","[0.43281131982803345, 0.048096913844347, 0.431887686252594, 0.08720404654741287]",0.3110687732696533,0.12185996770858765
56000,0.15414634346961975,0.15011383593082428,"[15.994283676147461, 17.597843170166016, 4.970222473144531, 6.048514366149902]",17.597843170166016,0.4821802079677582,0.19945963122713242,1.161839246749878,"[0.08460687845945358, 0.006536220666021109, 0.45645812153816223, 0.45239874720573425]","[0.08879443258047104, 0.019108016043901443, 0.4475693702697754, 0.444528192281723]",0.2787333130836487,0.10083853453397751
64000,0.1463261842727661,0.1425730586051941,"[6.290501117706299, 14.151958465576172, 6.031643867492676, 5.055121898651123]",14.151958465576172,0.4748755693435669,0.18761609640184235,1.2193125486373901,"[0.2956685423851013, 0.08256867527961731, 0.3629017174243927, 0.25886106491088867]","[0.29061830043792725, 0.09042783081531525, 0.35813063383102417, 0.2608232796192169]",0.3620317578315735,0.14063525199890137
72000,0.1360604166984558,0.13233426213264465,"[17.57611656188965, 16.043737411499023, 5.003814220428467, 5.480187892913818]",17.57611656188965,0.4819372892379761,0.17904548773149073,1.1598888635635376,"[0.058563925325870514, 0.04417816549539566, 0.4595993757247925, 0.43765851855278015]","[0.06302738189697266, 0.05381486192345619, 0.4532508850097656, 0.4299068748950958]",0.26443740725517273,0.10155691206455231
80000,0.1438443809747696,0.14059151709079742,"[5.834621429443359, 6.58427619934082, 18.753398895263672, 6.165477752685547]",18.753398895263672,0.48062747716903687,0.17121962062689192,1.1716375350952148,"[0.3677651584148407, 0.21857257187366486, 0.005388142541050911, 0.4082741141319275]","[0.3629806339740753, 0.2212061583995819, 0.014231013134121895, 0.40158218145370483]",0.29507923126220703,0.10902150720357895
88000,0.1266384720802307,0.12315478175878525,"[5.543237209320068, 13.114810943603516, 5.170196533203125, 22.203779220581055]",22.203779220581055,0.48133331537246704,0.1646958773107752,1.1647613048553467,"[0.40780720114707947, 0.07827679067850113, 0.4513903260231018, 0.06252570450305939]","[0.4022325873374939, 0.08614587783813477, 0.4442652463912964, 0.06735633313655853]",0.2739872634410858,0.10533014684915543
96000,0.12737031280994415,0.1251927614212036,"[5.133458137512207, 2.7483279705047607, 26.486692428588867, 5.818330764770508]",26.486692428588867,0.48617756366729736,0.15905554375391734,1.1239583492279053,"[0.46016421914100647, 1.8463460946804844e-06, 0.058646347373723984, 0.4811875820159912]","[0.451799213886261, 0.011777866631746292, 0.06272310018539429, 0.47369977831840515]",0.23033680021762848,0.07891904562711716
104000,0.12642696499824524,0.12438585609197617,"[2.268174648284912, 25.657621383666992, 5.681748390197754, 5.713120460510254]",25.657621383666992,0.48678159713745117,0.15356557572642834,1.1197019815444946,"[2.407028659945354e-06, 0.04249882698059082, 0.45896512269973755, 0.4985336363315582]","[0.01202342752367258, 0.047373995184898376, 0.4502047598361969, 0.4903978407382965]",0.2161397635936737,0.07530955225229263
112000,0.12182967364788055,0.11995238065719604,"[5.594878673553467, 1.6334644556045532, 5.817012310028076, 27.29796028137207]",27.29796028137207,0.48740556836128235,0.14882206547692972,1.112732172012329,"[0.5031677484512329, 7.016295171524689e-07, 0.44235047698020935, 0.054481133818626404]","[0.49661538004875183, 0.01041280385106802, 0.4352210462093353, 0.05775076523423195]",0.20807966589927673,0.07200606167316437
120000,0.11568809300661087,0.11344247311353683,"[6.290816783905029, 8.816761016845703, 5.676670551300049, 24.784378051757812]",24.784378051757812,0.48121407628059387,0.14414111815739114,1.165766716003418,"[0.40978798270225525, 0.14888209104537964, 0.3921786844730377, 0.049151234328746796]","[0.40391725301742554, 0.1573677957057953, 0.3855688273906708, 0.05314605310559273]",0.27841177582740784,0.10710274428129196
