train_size,test_rmse,train_rmse,expert_l2_device,max_expert_l2,gate_l2,bound,no_of_experts_chosen,avg_gate_weights_test,avg_raw_gate_weights_test,avg_raw_entorpy_test,avg_effective_entropy_test
8000,0.16960212588310242,0.16360555589199066,"[6.804783344268799, 11.662880897521973, 6.952804088592529, 10.524679183959961]",11.662880897521973,0.46711093187332153,0.4037271338435103,1.318750023841858,"[0.41120803356170654, 0.033505577594041824, 0.487804651260376, 0.06748177856206894]","[0.38989195227622986, 0.061928652226924896, 0.4621814787387848, 0.08599788695573807]",0.46452850103378296,0.19003310799598694
16000,0.13590870797634125,0.13309907913208008,"[13.13648509979248, 7.941340923309326, 8.724579811096191, 13.90843677520752]",13.90843677520752,0.4769802987575531,0.30767052508021314,1.2239375114440918,"[0.03017996810376644, 0.5017381906509399, 0.4427383542060852, 0.025343503803014755]","[0.049910616129636765, 0.4809965491294861, 0.4241792857646942, 0.04491349682211876]",0.35665157437324524,0.13276703655719757
24000,0.11211373656988144,0.10911019146442413,"[16.91896629333496, 8.59134578704834, 12.162298202514648, 8.92627239227295]",16.91896629333496,0.4734364151954651,0.2610645923855918,1.2417500019073486,"[0.018438909202814102, 0.4464818835258484, 0.1751389503479004, 0.35994023084640503]","[0.0353480726480484, 0.43356385827064514, 0.17991013824939728, 0.3511779010295868]",0.3807992935180664,0.15067771077156067
32000,0.10740306228399277,0.10583250224590302,"[11.32950496673584, 11.681235313415527, 17.755992889404297, 8.746809959411621]",17.755992889404297,0.48562249541282654,0.23228598559319044,1.140218734741211,"[0.4632779359817505, 0.008231558836996555, 0.011295562610030174, 0.517194926738739]","[0.4499000012874603, 0.021169040352106094, 0.025155866518616676, 0.5037750601768494]",0.24901781976222992,0.0829913318157196
40000,0.10301855951547623,0.10163327306509018,"[2.4132423400878906, 17.421266555786133, 8.790485382080078, 11.026558876037598]",17.421266555786133,0.4838414192199707,0.21150251969968192,1.1553499698638916,"[1.3649955690198112e-06, 0.0285031758248806, 0.5171170830726624, 0.4543783664703369]","[0.021355172619223595, 0.040967538952827454, 0.49964389204978943, 0.4380333721637726]",0.2839758098125458,0.0931319147348404
48000,0.09066446125507355,0.08927728980779648,"[11.922060012817383, 8.99177360534668, 15.663114547729492, 13.668946266174316]",15.663114547729492,0.482850044965744,0.19567787671383194,1.1531250476837158,"[0.4120230972766876, 0.4561612606048584, 0.13031642138957977, 0.001499214326031506]","[0.4046670198440552, 0.44767114520072937, 0.13745008409023285, 0.010211745277047157]",0.26443856954574585,0.09769497811794281
56000,0.0925614982843399,0.09128476679325104,"[2.4025182723999023, 22.575071334838867, 12.357165336608887, 8.463987350463867]",22.575071334838867,0.48833346366882324,0.18404654668286435,1.1106606721878052,"[1.377648914058227e-06, 0.006230123341083527, 0.45358365774154663, 0.5401848554611206]","[0.016789548099040985, 0.015176826156675816, 0.44095006585121155, 0.5270835757255554]",0.22502073645591736,0.0660320371389389
64000,0.08691603690385818,0.0855952799320221,"[8.540572166442871, 19.19267463684082, 25.408262252807617, 12.703764915466309]",25.408262252807617,0.48891210556030273,0.17407967196035892,1.1036406755447388,"[0.5360792875289917, 0.002634237054735422, 0.005820442922413349, 0.45546600222587585]","[0.5270079970359802, 0.012589553371071815, 0.014388224110007286, 0.44601428508758545]",0.19867874681949615,0.06258320063352585
72000,0.08745007961988449,0.0864742249250412,"[8.296876907348633, 21.465364456176758, 13.791007995605469, 17.45290184020996]",21.465364456176758,0.4898930788040161,0.16534800125791685,1.0930556058883667,"[0.5299838781356812, 0.0017913038609549403, 0.46697568893432617, 0.0012491033412516117]","[0.52210932970047, 0.009583180770277977, 0.4565666913986206, 0.011740810237824917]",0.19344507157802582,0.05740775540471077
80000,0.0832931250333786,0.08237103372812271,"[26.939180374145508, 3.0766334533691406, 8.477317810058594, 13.64328384399414]",26.939180374145508,0.4892887771129608,0.15834193977820094,1.0985875129699707,"[0.0040331557393074036, 0.0, 0.5318812727928162, 0.46408557891845703]","[0.010992748662829399, 0.014747635461390018, 0.5216399431228638, 0.452619731426239]",0.20678088068962097,0.06045523285865784
