train_size,test_rmse,train_rmse,expert_l2_device,max_expert_l2,gate_l2,bound,no_of_experts_chosen,avg_gate_weights_test,avg_raw_gate_weights_test,avg_raw_entropy_test,avg_effective_entropy_test
88000,0.1368589402623158,0.13126100254593862,"[16.11493492126465, 9.691784858703613, 10.522826194763184, 5.724485874176025]",16.11493492126465,0.930945634841919,0.2846208731596617,1.3049431818181818,"[0.1436508148908615, 0.16477733850479126, 0.21571621298789978, 0.47585567831993103]","[0.15050853788852692, 0.17217037081718445, 0.21292351186275482, 0.46439769864082336]",0.47168449127197265,0.19636340286254883
96000,0.13838971762194419,0.13356096151617522,"[14.844256401062012, 15.633005142211914, 5.53751802444458, 9.429228782653809]",15.633005142211914,0.9468826651573181,0.2746688933236684,1.2357395833333333,"[0.20376546680927277, 0.000691484019625932, 0.5197790265083313, 0.2757640480995178]","[0.20489312708377838, 0.017728766426444054, 0.507565438747406, 0.2698126435279846]",0.40372936981201174,0.15058388061523437
104000,0.1349584950117034,0.12996485095303528,"[9.83299732208252, 5.610280990600586, 13.424220085144043, 18.703590393066406]",18.703590393066406,0.9440045952796936,0.2659267984908116,1.2506634615384615,"[0.2546215057373047, 0.5130301117897034, 0.2254304140806198, 0.006918135564774275]","[0.2500894069671631, 0.5016629099845886, 0.2261895090341568, 0.022058235481381416]",0.409957073059082,0.15887982299804687
112000,0.1319204538845538,0.1270373665465363,"[11.277897834777832, 22.8809757232666, 8.245686531066895, 5.80068826675415]",22.8809757232666,0.9486240148544312,0.258269465079201,1.2277142857142858,"[0.26279881596565247, 0.006765222642570734, 0.30414557456970215, 0.4262903034687042]","[0.2583840489387512, 0.020914651453495026, 0.30142533779144287, 0.41927585005760193]",0.3894026419067383,0.1478772563934326
120000,0.12573738662072953,0.12129264782834488,"[9.128633499145508, 5.389721870422363, 11.076834678649902, 19.076234817504883]",19.076234817504883,0.9390043020248413,0.2502750713115048,1.264,"[0.2304101437330246, 0.4353858530521393, 0.22026976943016052, 0.1139342412352562]","[0.2317958027124405, 0.42982161045074463, 0.21711203455924988, 0.1212705746293068]",0.4133966000366211,0.17088289642333984
128000,0.12337759058125385,0.11899424017963463,"[9.886322021484375, 5.8439459800720215, 9.912336349487305, 18.04848289489746]",18.04848289489746,0.9379859566688538,0.24339175203144778,1.275515625,"[0.21405647695064545, 0.4666040539741516, 0.24674829840660095, 0.0725911483168602]","[0.21519650518894196, 0.4562460482120514, 0.24089695513248444, 0.08766041696071625]",0.4316243884277344,0.17599021270751952
136000,0.12088563987035278,0.11692560708831451,"[18.48663902282715, 5.572605133056641, 11.961661338806152, 8.817473411560059]",18.48663902282715,0.939755916595459,0.23728708804325738,1.2674926470588235,"[0.06964979320764542, 0.5061073303222656, 0.1886184960603714, 0.23562447726726532]","[0.0790199264883995, 0.4953419864177704, 0.1924683004617691, 0.233169823884964]",0.41898623626708986,0.17101984619140626
144000,0.12111625672899146,0.11726839158721648,"[10.414142608642578, 5.766843795776367, 9.839399337768555, 18.806100845336914]",18.806100845336914,0.9408165216445923,0.23164113483187934,1.2614375,"[0.21871738135814667, 0.4656415283679962, 0.2369641363620758, 0.07867705821990967]","[0.22087812423706055, 0.45660659670829773, 0.23340901732444763, 0.08910620957612991]",0.41823459899902343,0.1686078463745117
152000,0.1257209728555545,0.12219407821675314,"[9.014749526977539, 5.519989490509033, 13.970866203308105, 21.9132137298584]",21.9132137298584,0.9537606239318848,0.22685705662018793,1.2022302631578947,"[0.2973845601081848, 0.5004376769065857, 0.20117853581905365, 0.0009991530096158385]","[0.2915457487106323, 0.493207186460495, 0.20400281250476837, 0.011244337074458599]",0.35095287536621095,0.1303297124481201
160000,0.11939089360710514,0.115881279966551,"[5.572892189025879, 11.753510475158691, 9.409379959106445, 20.617748260498047]",20.617748260498047,0.9461942315101624,0.22172168260870692,1.23929375,"[0.5053808689117432, 0.23001715540885925, 0.25248876214027405, 0.012113232165575027]","[0.4955625832080841, 0.23080596327781677, 0.24861982464790344, 0.02501165308058262]",0.38808430389404297,0.15191121055603027
168000,0.12448131717542746,0.1215209110260898,"[8.801973342895508, 5.566333293914795, 3.9457719326019287, 17.38205337524414]",17.38205337524414,0.9504520893096924,0.21691331996136248,1.2189880952380951,"[0.31207361817359924, 0.5257458686828613, 3.197509158781031e-06, 0.16217751801013947]","[0.3056762218475342, 0.5146998167037964, 0.016499165445566177, 0.16312485933303833]",0.38334167053222656,0.13877752853393555
176000,0.11992708971446606,0.11611358612204856,"[5.521454811096191, 23.815406799316406, 14.529738426208496, 9.049619674682617]",23.815406799316406,0.9513071179389954,0.21319340843152992,1.2134034090909092,"[0.5615688562393188, 0.0035676886327564716, 0.17313775420188904, 0.26172569394111633]","[0.5523998141288757, 0.012760942801833153, 0.17554835975170135, 0.259290874004364]",0.35291697845458986,0.13692563819885253
184000,0.11222162939981008,0.10889446204981047,"[5.6504011154174805, 13.206391334533691, 18.26476287841797, 7.637557029724121]",18.26476287841797,0.9344671964645386,0.20849362632970025,1.2922065217391305,"[0.49249133467674255, 0.16945917904376984, 0.07113037258386612, 0.26691916584968567]","[0.4818912446498871, 0.17338089644908905, 0.07932250201702118, 0.2654053270816803]",0.44386466033935545,0.18409809288024903
192000,0.12095196139198856,0.11810973511144844,"[13.72488784790039, 17.32952308654785, 9.16506290435791, 5.489405155181885]",17.32952308654785,0.954591691493988,0.20492026200627206,1.1994947916666667,"[0.00030396715737879276, 0.1355840265750885, 0.288354754447937, 0.5757573843002319]","[0.009644575417041779, 0.13872487843036652, 0.2855079770088196, 0.5661226511001587]",0.3399055699157715,0.12824561500549317
200000,0.11496313947305023,0.11195768175880795,"[22.665189743041992, 8.296526908874512, 5.875836372375488, 10.532018661499023]",22.665189743041992,0.9529773592948914,0.20176936830822026,1.208865,"[0.01119946502149105, 0.26812848448753357, 0.47208502888679504, 0.24858705699443817]","[0.02170940488576889, 0.268006294965744, 0.4647206962108612, 0.24556365609169006]",0.3508319885253906,0.13420514640808107
208000,0.11130504360852896,0.10829925512749555,"[8.769089698791504, 10.888533592224121, 18.500619888305664, 5.412200450897217]",18.500619888305664,0.9410682320594788,0.19792788626970262,1.2617596153846153,"[0.24347054958343506, 0.20448555052280426, 0.04587552696466446, 0.5061683058738708]","[0.23984257876873016, 0.20806941390037537, 0.055532246828079224, 0.49655571579933167]",0.40716554626464846,0.16638566184997558
216000,0.11814734309175862,0.11555688514667961,"[5.479946136474609, 9.022488594055176, 17.778478622436523, 3.1566593647003174]",17.778478622436523,0.9519585967063904,0.19482489430204983,1.2135648148148148,"[0.5878528356552124, 0.2831017076969147, 0.12904539704322815, 0.0]","[0.574232816696167, 0.27701956033706665, 0.1316610872745514, 0.017086517065763474]",0.3724542967224121,0.13615656913757324
224000,0.11376830521737454,0.1109745768255616,"[5.742873668670654, 7.961671829223633, 9.979546546936035, 26.218618392944336]",26.218618392944336,0.9546554684638977,0.19241386860884205,1.1994553571428572,"[0.43469467759132385, 0.3106343448162079, 0.24757486581802368, 0.007096181623637676]","[0.4294974207878113, 0.30881431698799133, 0.24542495608329773, 0.016263309866189957]",0.34051132431030273,0.12890830200195313
232000,0.11559241112941485,0.11274703910366071,"[8.950551986694336, 16.716203689575195, 5.48151969909668, 22.17340660095215]",22.17340660095215,0.9541339874267578,0.18927709156814024,1.1995043103448275,"[0.2779499292373657, 0.1423467993736267, 0.578598141670227, 0.001105068833567202]","[0.27624428272247314, 0.14619499444961548, 0.5698182582855225, 0.007742538582533598]",0.3346034375,0.12951930389404298
240000,0.11244205237052722,0.10994769169386714,"[9.879549980163574, 25.247610092163086, 5.976999282836914, 7.808218002319336]",25.247610092163086,0.9545163512229919,0.1867225408752527,1.2006541666666666,"[0.2581177055835724, 0.008461862802505493, 0.4364263415336609, 0.2969941794872284]","[0.2549739181995392, 0.017870593816041946, 0.4317968785762787, 0.2953586280345917]",0.3416856213378906,0.13041066589355468
248000,0.1169196297607015,0.11453210421670346,"[20.024147033691406, 2.3818976879119873, 9.461039543151855, 5.44517183303833]",20.024147033691406,0.9542011022567749,0.18377142089632842,1.203665322580645,"[0.10547524690628052, 0.0, 0.28140953183174133, 0.6131152510643005]","[0.10888469964265823, 0.01568252593278885, 0.2764272391796112, 0.5990054607391357]",0.35487675048828127,0.1306653335571289
256000,0.10792914357222609,0.10527647983634915,"[15.783086776733398, 9.446389198303223, 5.5450286865234375, 9.904709815979004]",15.783086776733398,0.9438369274139404,0.18082241879880556,1.2455546875,"[0.08736757934093475, 0.24293029308319092, 0.4715069830417633, 0.19819511473178864]","[0.09279368072748184, 0.24461767077445984, 0.46426206827163696, 0.19832661747932434]",0.39433982330322265,0.1588035122680664
264000,0.11129812849721428,0.10894683254245117,"[22.380237579345703, 8.048518180847168, 5.446231842041016, 17.87042999267578]",22.380237579345703,0.9490211009979248,0.17897147176836686,1.2278219696969697,"[0.009260592982172966, 0.3074800670146942, 0.5779754519462585, 0.10528373718261719]","[0.018252281472086906, 0.30367863178253174, 0.5650544166564941, 0.11301466077566147]",0.36423432983398435,0.14531725715637206
