train_size,test_rmse,train_rmse,expert_l2_device,max_expert_l2,gate_l2,bound,no_of_experts_chosen,avg_gate_weights_test,avg_raw_gate_weights_test,avg_raw_entorpy_test,avg_effective_entropy_test
8000,0.21144427359104156,0.20373854041099548,"[8.349695205688477, 7.635677337646484, 5.511150360107422, 2.9137866497039795]",8.349695205688477,0.4548720717430115,0.33207561469802566,1.3932499885559082,"[0.19118230044841766, 0.12444156408309937, 0.1956004947423935, 0.4887756109237671]","[0.18909496068954468, 0.1305823028087616, 0.20674379169940948, 0.47357895970344543]",0.5494323968887329,0.24532026052474976
16000,0.18000024557113647,0.1767796128988266,"[3.432260274887085, 9.421894073486328, 12.056692123413086, 10.58485221862793]",12.056692123413086,0.4762475788593292,0.2513379028396671,1.2168749570846558,"[0.6960298418998718, 0.07591460645198822, 0.02977770008146763, 0.19827783107757568]","[0.676098644733429, 0.08554913103580475, 0.04603958502411842, 0.19231261312961578]",0.3397616446018219,0.13225622475147247
24000,0.151828333735466,0.14840921759605408,"[3.480210065841675, 9.725354194641113, 12.270278930664062, 16.083698272705078]",16.083698272705078,0.4791021943092346,0.21268062732098716,1.1905416250228882,"[0.6638249754905701, 0.2035742551088333, 0.1220821887254715, 0.010518612340092659]","[0.6507379412651062, 0.19859769940376282, 0.12814055383205414, 0.02252379059791565]",0.3083149492740631,0.1181018278002739
32000,0.13783101737499237,0.13584548234939575,"[9.48195743560791, 3.4192006587982178, 12.924062728881836, 22.562990188598633]",22.562990188598633,0.4793175458908081,0.18895369691614702,1.182937502861023,"[0.20970679819583893, 0.5941030979156494, 0.1893353909254074, 0.00685472646728158]","[0.21208420395851135, 0.5875897407531738, 0.18504992127418518, 0.015276161022484303]",0.30203697085380554,0.1149531677365303
40000,0.13016842305660248,0.1283436119556427,"[3.9089479446411133, 20.53278923034668, 10.864950180053711, 12.412517547607422]",20.53278923034668,0.4849546551704407,0.17151489211888235,1.138350009918213,"[0.6932082772254944, 0.04933236166834831, 0.25419163703918457, 0.0032677087001502514]","[0.6807779669761658, 0.05640069767832756, 0.24845047295093536, 0.014370886608958244]",0.23641957342624664,0.0867520123720169
48000,0.12497702986001968,0.12376271188259125,"[2.81481671333313, 3.7684476375579834, 17.33292579650879, 22.4099178314209]",22.4099178314209,0.4885841906070709,0.15874636317979415,1.1066875457763672,"[0.0, 0.7893955707550049, 0.19831709563732147, 0.012287343852221966]","[0.013447768986225128, 0.7766437530517578, 0.19106867909431458, 0.018839797005057335]",0.20210690796375275,0.0664096400141716
56000,0.11251924186944962,0.11063356697559357,"[3.6582581996917725, 14.369688987731934, 14.315285682678223, 23.40648651123047]",23.40648651123047,0.48537424206733704,0.14849436429196908,1.1300357580184937,"[0.6722208857536316, 0.20596034824848175, 0.1182907223701477, 0.0035280713345855474]","[0.6650646924972534, 0.20226241648197174, 0.12303119152784348, 0.00964165199548006]",0.2226911336183548,0.0829271450638771
64000,0.1105177253484726,0.10860079526901245,"[10.6072359085083, 4.202466011047363, 25.54063606262207, 18.931413650512695]",25.54063606262207,0.48651134967803955,0.1402725613678398,1.1195937395095825,"[0.1730247586965561, 0.6945568919181824, 0.12990398705005646, 0.0025143767707049847]","[0.17681492865085602, 0.6861570477485657, 0.1290537714958191, 0.007974252104759216]",0.21336570382118225,0.0771351009607315
72000,0.10086334496736526,0.09861670434474945,"[21.325559616088867, 19.797603607177734, 4.2890777587890625, 8.30862808227539]",21.325559616088867,0.48378637433052063,0.13289739821452373,1.1424860954284668,"[0.15124423801898956, 0.084408238530159, 0.5945583581924438, 0.1697891354560852]","[0.15007534623146057, 0.08847589790821075, 0.5883105993270874, 0.17313812673091888]",0.24196800589561462,0.09084416925907135
80000,0.10496626794338226,0.10365460813045502,"[14.593916893005371, 21.69365692138672, 3.752812623977661, 18.92612648010254]",21.69365692138672,0.488741010427475,0.12700163748128493,1.0994000434875488,"[0.00015723156684543937, 0.15468625724315643, 0.7652631998062134, 0.07989329844713211]","[0.004728859756141901, 0.1529630869626999, 0.7594496607780457, 0.0828583687543869]",0.1775357872247696,0.06397712230682373
88000,0.09826750308275223,0.09697969257831573,"[18.88903045654297, 4.2350850105285645, 28.99334716796875, 11.547931671142578]",28.99334716796875,0.48638296127319336,0.12220815553567102,1.1207727193832397,"[0.0028747497126460075, 0.6928619742393494, 0.11753123253583908, 0.18673206865787506]","[0.007840484380722046, 0.6847769021987915, 0.11597499996423721, 0.19140762090682983]",0.21270683407783508,0.07774003595113754
96000,0.09312562644481659,0.09205298870801926,"[11.90089225769043, 3.697911262512207, 18.247478485107422, 30.290987014770508]",30.290987014770508,0.4864139258861542,0.11768586273314853,1.1191041469573975,"[0.13252592086791992, 0.6884209513664246, 0.1746235489845276, 0.004429641179740429]","[0.13599854707717896, 0.684025764465332, 0.17192696034908295, 0.008048705756664276]",0.20357200503349304,0.07604511827230453
104000,0.09284138679504395,0.09151769429445267,"[5.840018272399902, 26.13680648803711, 3.7870285511016846, 25.56835174560547]",26.13680648803711,0.48402872681617737,0.11338556672461102,1.1371538639068604,"[0.3515203893184662, 0.0018995978171005845, 0.4766290485858917, 0.169950932264328]","[0.3532976806163788, 0.005740304943174124, 0.47411030530929565, 0.1668516993522644]",0.24506829679012299,0.0882575586438179
112000,0.09335488080978394,0.09188360720872879,"[32.965145111083984, 4.350031852722168, 23.146087646484375, 9.680146217346191]",32.965145111083984,0.48705312609672546,0.11007853537341337,1.1141160726547241,"[0.10155202448368073, 0.6616498231887817, 0.0024730500299483538, 0.234325110912323]","[0.10082879662513733, 0.6548843383789062, 0.0059617566876113415, 0.2383251190185547]",0.2002577781677246,0.07355153560638428
120000,0.0937134325504303,0.09229829162359238,"[19.35446548461914, 19.475210189819336, 3.794187068939209, 27.61703109741211]",27.61703109741211,0.4889620244503021,0.10657590287214247,1.0965083837509155,"[0.089601531624794, 0.18136639893054962, 0.7282666563987732, 0.0007654233486391604]","[0.09277299791574478, 0.17995613813400269, 0.7238824963569641, 0.0033883447758853436]",0.1701958030462265,0.06304784119129181
128000,0.08214463293552399,0.08091656863689423,"[13.465719223022461, 30.51624298095703, 4.012905597686768, 11.834478378295898]",30.51624298095703,0.48498883843421936,0.10366287881647569,1.1308749914169312,"[0.12924742698669434, 0.10776419937610626, 0.5771039128303528, 0.18588444590568542]","[0.1323356181383133, 0.10726854205131531, 0.5728099942207336, 0.18758584558963776]",0.2287721037864685,0.08566273748874664
136000,0.08469383418560028,0.0832889974117279,"[26.553672790527344, 3.8230886459350586, 24.3470458984375, 15.84945297241211]",26.553672790527344,0.4867539405822754,0.10077643668644502,1.1173603534698486,"[0.04722589999437332, 0.7044082880020142, 0.02099383808672428, 0.22737203538417816]","[0.05102751404047012, 0.6989659667015076, 0.025127924978733063, 0.22487863898277283]",0.1924927979707718,0.07426577061414719
144000,0.0963672325015068,0.09535849094390869,"[30.45527458190918, 30.259998321533203, 3.9039342403411865, 2.066699266433716]",30.45527458190918,0.49287524819374084,0.09847211216322518,1.0628055334091187,"[0.0014747463865205646, 0.17481167614459991, 0.8237136006355286, 0.0]","[0.0038903290405869484, 0.17152854800224304, 0.8189020156860352, 0.0056791650131344795]",0.12397067993879318,0.03958497568964958
152000,0.0849255844950676,0.08395585417747498,"[3.7610883712768555, 13.23073959350586, 17.03744125366211, 33.835731506347656]",33.835731506347656,0.4888020157814026,0.0962210240424859,1.0970263481140137,"[0.6627904772758484, 0.12944649159908295, 0.2069801241159439, 0.0007829357055015862]","[0.659223735332489, 0.1321202665567398, 0.20576824247837067, 0.0028877544682472944]",0.17512401938438416,0.06450650095939636
160000,0.0806734710931778,0.0792505145072937,"[17.52635383605957, 4.012533664703369, 39.38684844970703, 15.15053939819336]",39.38684844970703,0.48764339089393616,0.09420901700135942,1.110493779182434,"[0.013264794833958149, 0.6850022077560425, 0.08627577871084213, 0.21545718610286713]","[0.01813008263707161, 0.6788376569747925, 0.08534976840019226, 0.21768246591091156]",0.1841396689414978,0.07048466801643372
168000,0.08399831503629684,0.08258166164159775,"[4.256222724914551, 38.2509880065918, 12.295899391174316, 20.282655715942383]",38.2509880065918,0.4881044328212738,0.0921646173995083,1.1065237522125244,"[0.688987672328949, 0.09789703041315079, 0.2070208042860031, 0.006094451993703842]","[0.6822255253791809, 0.09672877192497253, 0.20984314382076263, 0.011202488094568253]",0.1837022453546524,0.06796097010374069
176000,0.08075965195894241,0.07953724265098572,"[40.31669998168945, 4.00385046005249, 24.389972686767578, 15.46536922454834]",40.31669998168945,0.4892081916332245,0.0903421719663281,1.0934205055236816,"[0.12829922139644623, 0.6896997094154358, 0.0018917036941275, 0.18010933697223663]","[0.12584102153778076, 0.6855509877204895, 0.00483776954934001, 0.18377014994621277]",0.1593477874994278,0.06131146103143692
184000,0.08436939865350723,0.08348177373409271,"[3.8438704013824463, 22.526386260986328, 21.164155960083008, 20.66103172302246]",22.526386260986328,0.4899240732192993,0.08800733535646293,1.0877609252929688,"[0.7384398579597473, 0.18457715213298798, 4.72184328828007e-05, 0.07693576067686081]","[0.7349154949188232, 0.18376043438911438, 0.0028398302383720875, 0.07848424464464188]",0.15860521793365479,0.05716041103005409
192000,0.07308449596166611,0.07176443189382553,"[44.56966018676758, 3.8798437118530273, 13.146541595458984, 10.933804512023926]",44.56966018676758,0.4863938093185425,0.08698817973937117,1.1178228855133057,"[0.09516734629869461, 0.5898010730743408, 0.189731627702713, 0.12529994547367096]","[0.09430714696645737, 0.5863710641860962, 0.19113749265670776, 0.1281842142343521]",0.2067851573228836,0.07652206718921661
200000,0.07916293293237686,0.07816457003355026,"[17.736560821533203, 3.8098533153533936, 24.998228073120117, 16.57066535949707]",24.998228073120117,0.4874379336833954,0.08488684185111187,1.1107200384140015,"[0.09153635054826736, 0.720085620880127, 0.16512063145637512, 0.02325746789574623]","[0.09289003908634186, 0.7157898545265198, 0.1636495143175125, 0.027670620009303093]",0.1871630847454071,0.07094980776309967
208000,0.0797019749879837,0.07890985906124115,"[20.021556854248047, 45.40132522583008, 15.011451721191406, 3.8062522411346436]",45.40132522583008,0.4888920783996582,0.08397880191375039,1.09589421749115,"[0.18638035655021667, 0.0006442003068514168, 0.09335927665233612, 0.719616174697876]","[0.18482859432697296, 0.0020307244267314672, 0.09543859213590622, 0.7177020311355591]",0.17016036808490753,0.06324756145477295
216000,0.0742141529917717,0.07302473485469818,"[21.349842071533203, 34.31570053100586, 4.305787086486816, 9.651472091674805]",34.31570053100586,0.48735949397087097,0.08231561573306734,1.1104120016098022,"[0.06681133806705475, 0.1281408816576004, 0.6176475286483765, 0.1874002367258072]","[0.06863804906606674, 0.12692534923553467, 0.6141448616981506, 0.19029171764850616]",0.19467340409755707,0.07186467945575714
224000,0.07353237271308899,0.07219386100769043,"[22.144577026367188, 12.067995071411133, 34.6230583190918, 4.053441524505615]",34.6230583190918,0.4866970181465149,0.08099591978849563,1.1168124675750732,"[0.06085052713751793, 0.1935081034898758, 0.11647782474756241, 0.6291635632514954]","[0.062099698930978775, 0.19847218692302704, 0.11551224440336227, 0.6239158511161804]",0.2075101137161255,0.07622818648815155
232000,0.07607810199260712,0.07534127682447433,"[23.83269500732422, 23.0727481842041, 3.810006618499756, 13.445535659790039]",23.83269500732422,0.4880984425544739,0.07942541027920653,1.105482816696167,"[0.06560738384723663, 0.17900726199150085, 0.7305915355682373, 0.024793798103928566]","[0.06651286780834198, 0.17739316821098328, 0.725084662437439, 0.03100929968059063]",0.17580600082874298,0.06775800883769989
240000,0.07596837729215622,0.0748090147972107,"[9.991243362426758, 19.33839988708496, 43.1719970703125, 4.314362525939941]",43.1719970703125,0.4880349338054657,0.07873922401867685,1.1069375276565552,"[0.24518010020256042, 0.010065823793411255, 0.09671127051115036, 0.6480427980422974]","[0.24743182957172394, 0.014224139042198658, 0.09555507451295853, 0.6427889466285706]",0.1783669888973236,0.06827530264854431
248000,0.0699322521686554,0.06906592845916748,"[13.071026802062988, 3.859255790710449, 41.3568000793457, 15.707968711853027]",41.3568000793457,0.4862019419670105,0.07754701605376442,1.120407223701477,"[0.0937974601984024, 0.6400337219238281, 0.08145435899496078, 0.1847144514322281]","[0.09694582223892212, 0.6356632709503174, 0.08025636523962021, 0.18713456392288208]",0.21038292348384857,0.0790175348520279
256000,0.07396114617586136,0.07312200218439102,"[3.8519411087036133, 28.773223876953125, 24.34070587158203, 19.380704879760742]",28.773223876953125,0.4876711666584015,0.07616836093610366,1.108648419380188,"[0.7298657894134521, 0.02499363198876381, 0.03567536547780037, 0.2094651758670807]","[0.7246997952461243, 0.027768539264798164, 0.03890388831496239, 0.2086278349161148]",0.18016687035560608,0.07066591829061508
264000,0.07374993711709976,0.07262709736824036,"[3.9358789920806885, 34.59777069091797, 31.967811584472656, 6.153948783874512]",34.59777069091797,0.48708999156951904,0.07527435572073475,1.1105151176452637,"[0.3897247910499573, 0.14698345959186554, 0.0021612627897411585, 0.4611304700374603]","[0.38832443952560425, 0.14407145977020264, 0.004338473547250032, 0.46326562762260437]",0.19577869772911072,0.07272078841924667
272000,0.07466012239456177,0.07358033955097198,"[42.68696212768555, 8.86894416809082, 4.369556427001953, 23.970901489257812]",42.68696212768555,0.4870683550834656,0.07444348635103532,1.1145882606506348,"[0.10924047231674194, 0.2430511713027954, 0.6345971822738647, 0.01311119832098484]","[0.10683038830757141, 0.24774982035160065, 0.6289553046226501, 0.016464507207274437]",0.19682933390140533,0.0742092877626419
280000,0.07895055413246155,0.07825193554162979,"[32.689762115478516, 3.9053056240081787, 2.0352110862731934, 27.788244247436523]",32.689762115478516,0.4898773729801178,0.07329524343416813,1.0915786027908325,"[0.16671039164066315, 0.7852324843406677, 0.0, 0.04805713891983032]","[0.16288018226623535, 0.7800915837287903, 0.00881107710301876, 0.04821711406111717]",0.16521938145160675,0.05747513100504875
288000,0.07768787443637848,0.07699403166770935,"[3.848735809326172, 39.70915222167969, 24.361146926879883, 19.263940811157227]",39.70915222167969,0.49037495255470276,0.07253054619246276,1.0828888416290283,"[0.7463092803955078, 2.938494162663119e-06, 0.17567729949951172, 0.0780104324221611]","[0.7441907525062561, 0.0009840866550803185, 0.175601527094841, 0.07922355085611343]",0.15018396079540253,0.055195048451423645
296000,0.07806234806776047,0.07732336968183517,"[19.75004768371582, 34.841758728027344, 25.133161544799805, 3.8480491638183594]",34.841758728027344,0.4902181923389435,0.07154743056086381,1.0842432975769043,"[0.0819617211818695, 4.254538907844108e-06, 0.17848390340805054, 0.7395500540733337]","[0.08272060751914978, 0.0010114063043147326, 0.17848171293735504, 0.7377862334251404]",0.15260794758796692,0.05574017018079758
304000,0.06965969502925873,0.06873132288455963,"[40.511348724365234, 10.387560844421387, 3.9669501781463623, 26.322893142700195]",40.511348724365234,0.4862158000469208,0.07078684589526484,1.121700644493103,"[0.10899649560451508, 0.21085408329963684, 0.6455150246620178, 0.034634388983249664]","[0.10759742558002472, 0.21796779334545135, 0.6378519535064697, 0.036582838743925095]",0.21039772033691406,0.07843409478664398
312000,0.06725715845823288,0.06641983985900879,"[3.8337574005126953, 38.186458587646484, 16.60598373413086, 16.030719757080078]",38.186458587646484,0.48611021041870117,0.06992471719573894,1.1218845844268799,"[0.6686400771141052, 0.08179309964179993, 0.1776753067970276, 0.07189150154590607]","[0.6637541651725769, 0.08052076399326324, 0.18249283730983734, 0.07323228567838669]",0.2109655886888504,0.07961849868297577
320000,0.06976516544818878,0.06896666437387466,"[12.233475685119629, 4.207031726837158, 21.35476303100586, 40.45822525024414]",40.45822525024414,0.48748382925987244,0.06918667449251216,1.1103156805038452,"[0.19423988461494446, 0.6525591611862183, 0.034635066986083984, 0.11856591701507568]","[0.20026038587093353, 0.6458383798599243, 0.03667452558875084, 0.11722669750452042]",0.1938450038433075,0.07172896713018417
328000,0.07076931744813919,0.06983687728643417,"[20.87743377685547, 11.795687675476074, 3.7822649478912354, 46.05847930908203]",46.05847930908203,0.4893055260181427,0.06852877917038364,1.0943536758422852,"[0.011322932317852974, 0.2089645266532898, 0.673079788684845, 0.1066327840089798]","[0.014767528511583805, 0.21129228174686432, 0.6687846183776855, 0.1051555871963501]",0.16066569089889526,0.0608939565718174
336000,0.06852319836616516,0.06771205365657806,"[21.192811965942383, 35.699134826660156, 8.719849586486816, 4.324475288391113]",35.699134826660156,0.48680996894836426,0.06759912190386748,1.1155476570129395,"[0.06606410443782806, 0.13013119995594025, 0.19523152709007263, 0.6085731983184814]","[0.06688511371612549, 0.12859942018985748, 0.20088806748390198, 0.6036274433135986]",0.20691898465156555,0.07504203170537949
344000,0.0653015524148941,0.06455622613430023,"[15.136003494262695, 43.559326171875, 3.8741350173950195, 12.61970329284668]",43.559326171875,0.4859684407711029,0.06702374636986322,1.1227529048919678,"[0.1963454633951187, 0.08462388813495636, 0.6145681142807007, 0.10446255654096603]","[0.20120152831077576, 0.08310515433549881, 0.6101800799369812, 0.10551328957080841]",0.21472835540771484,0.079523965716362
352000,0.06825865805149078,0.06739157438278198,"[11.89151382446289, 3.894021987915039, 45.46250915527344, 20.314346313476562]",45.46250915527344,0.48925068974494934,0.06638428059092333,1.0935397148132324,"[0.2098941206932068, 0.6916904449462891, 0.08169692009687424, 0.016718460246920586]","[0.21173125505447388, 0.6886181235313416, 0.08021879941225052, 0.01943184994161129]",0.15694813430309296,0.060758110135793686
360000,0.07405223697423935,0.0734625905752182,"[40.6390266418457, 24.654598236083984, 3.8652491569519043, 18.439233779907227]",40.6390266418457,0.4904501736164093,0.06564930371118675,1.0823222398757935,"[6.4313830989704e-06, 0.19005906581878662, 0.7302457690238953, 0.0796886458992958]","[0.0008591804653406143, 0.1895076185464859, 0.7288576364517212, 0.08077557384967804]",0.14841745793819427,0.05461904779076576
