train_size,test_rmse,train_rmse,expert_l2_device,max_expert_l2,gate_l2,bound,no_of_experts_chosen,avg_gate_weights_test,avg_raw_gate_weights_test,avg_raw_entropy_test,avg_effective_entropy_test
8000,0.303383712888635,0.27582912991212705,"[6.414353847503662, 4.368706226348877, 3.6972672939300537, 2.741823196411133]",6.414353847503662,0.9269870519638062,0.6095386900014091,1.359125,"[0.03973798081278801, 0.4566935896873474, 0.5006318092346191, 0.002936755307018757]","[0.08040829747915268, 0.4172455072402954, 0.45068463683128357, 0.051661502569913864]",0.6207225759887696,0.21309625534057616
16000,0.219032485973666,0.19843536616101734,"[4.845237731933594, 5.3585944175720215, 5.869400501251221, 4.802358627319336]",5.869400501251221,0.9294648170471191,0.46137807469490655,1.317875,"[0.043469395488500595, 0.3246020972728729, 0.19965411722660065, 0.4322742819786072]","[0.0778815895318985, 0.31320568919181824, 0.20026227831840515, 0.4086505174636841]",0.5302240069580079,0.2042409664916992
24000,0.21089362517517302,0.19526947035768796,"[5.9627861976623535, 5.239665508270264, 5.307727813720703, 6.413079738616943]",6.413079738616943,0.9455755352973938,0.3918732305777291,1.2474583333333333,"[0.0033189759124070406, 0.34294870495796204, 0.4653584659099579, 0.188373863697052]","[0.03242627531290054, 0.3308050036430359, 0.4494127631187439, 0.1873559057712555]",0.4434613317871094,0.15800556259155274
32000,0.19145747934288643,0.18059709353172923,"[2.4491617679595947, 4.785144329071045, 8.668608665466309, 4.7366743087768555]",8.668608665466309,0.9410162568092346,0.34936407097987554,1.2604375,"[3.107102884314372e-06, 0.23450937867164612, 0.3381166458129883, 0.4273708462715149]","[0.021534329280257225, 0.23532015085220337, 0.32925039529800415, 0.4138951301574707]",0.4586335217285156,0.16508914260864258
40000,0.16153416037894225,0.15141329123990113,"[6.32354736328125, 8.362739562988281, 3.9802041053771973, 8.753907203674316]",8.753907203674316,0.9317579865455627,0.3179925729652069,1.296425,"[0.21012943983078003, 0.17550286650657654, 0.39755958318710327, 0.21680811047554016]","[0.21073660254478455, 0.17714092135429382, 0.38975831866264343, 0.22236429154872894]",0.46546172729492186,0.1886476124572754
48000,0.14974829192293945,0.14000917293947035,"[6.809236526489258, 5.9587507247924805, 13.507193565368652, 4.442419052124023]",13.507193565368652,0.9378018975257874,0.29651741453356284,1.2697916666666667,"[0.3046797215938568, 0.30507415533065796, 0.12012267857789993, 0.2701233923435211]","[0.30394217371940613, 0.3018465042114258, 0.12340915203094482, 0.2708021402359009]",0.44155721588134766,0.17555116325378417
56000,0.14247240980651676,0.1341592250109606,"[16.672637939453125, 4.048659801483154, 7.724194526672363, 12.299149513244629]",16.672637939453125,0.9612529277801514,0.27898207497912486,1.1756964285714286,"[0.009388738311827183, 0.533282458782196, 0.3630842864513397, 0.0942445918917656]","[0.02276758849620819, 0.5241831541061401, 0.35447290539741516, 0.09857629239559174]",0.30492020278930665,0.11167056060791015
64000,0.1398984768471684,0.1325365253253987,"[6.420077323913574, 9.43637752532959, 5.994453430175781, 6.668529510498047]",9.43637752532959,0.9462340474128723,0.26109971817594074,1.23265625,"[0.31791478395462036, 0.16736988723278046, 0.2478276789188385, 0.26688772439956665]","[0.3145526647567749, 0.16840152442455292, 0.2512938380241394, 0.2657519578933716]",0.38891780975341794,0.1501258444213867
72000,0.142482145696737,0.1367959189718949,"[6.061195373535156, 11.791106224060059, 5.022855758666992, 3.2037501335144043]",11.791106224060059,0.962242603302002,0.24932023708672965,1.1669166666666666,"[0.3500990867614746, 0.1803177297115326, 0.4695807099342346, 2.5797019134188304e-06]","[0.3450813293457031, 0.18039150536060333, 0.4601978659629822, 0.014329475350677967]",0.3123729244995117,0.1065957795715332
80000,0.1274375344014928,0.12099886594095087,"[4.343007564544678, 9.986686706542969, 17.020490646362305, 8.379109382629395]",17.020490646362305,0.9549398422241211,0.23942841453331776,1.1964,"[0.4188615679740906, 0.16755929589271545, 0.08427461981773376, 0.3293044865131378]","[0.41515445709228516, 0.17042097449302673, 0.08875032514333725, 0.3256742060184479]",0.329148984375,0.12651696395874024
88000,0.11953065165450986,0.11404906520368428,"[4.20338249206543, 15.537896156311035, 11.19074535369873, 6.7371907234191895]",15.537896156311035,0.9535945653915405,0.22949273535081202,1.2032272727272728,"[0.4738138020038605, 0.08749169856309891, 0.13626398146152496, 0.30243054032325745]","[0.4664827883243561, 0.09076123684644699, 0.1441667228937149, 0.29858922958374023]",0.3356327479553223,0.13003875839233398
96000,0.1183028295628404,0.11250830575517748,"[16.207406997680664, 8.2070951461792, 4.203192710876465, 14.73033332824707]",16.207406997680664,0.9605801105499268,0.2212538297913783,1.1725416666666666,"[0.1258741170167923, 0.3214782774448395, 0.48530644178390503, 0.06734126061201096]","[0.1293891966342926, 0.3177003860473633, 0.4802356958389282, 0.07267473638057709]",0.29299304244995117,0.1123730941772461
104000,0.1205875914682362,0.11646998711146066,"[4.5728278160095215, 6.798705101013184, 17.508390426635742, 2.2870466709136963]",17.508390426635742,0.9640029072761536,0.21399236795083196,1.160326923076923,"[0.47871601581573486, 0.3541598320007324, 0.16712266206741333, 1.5657548146918998e-06]","[0.47010380029678345, 0.34770888090133667, 0.16728301346302032, 0.014904399402439594]",0.2992498486328125,0.10127207489013672
112000,0.11468112759465895,0.11016792266438345,"[23.684955596923828, 4.267575263977051, 6.991622447967529, 15.255500793457031]",23.684955596923828,0.9679350852966309,0.20810870390634914,1.143482142857143,"[0.10189332067966461, 0.5230535268783569, 0.3722684681415558, 0.0027846298180520535]","[0.10408731549978256, 0.5160585045814514, 0.36680328845977783, 0.01305103488266468]",0.26113917709350587,0.09239268623352051
120000,0.10808884087713862,0.10388122000894569,"[4.4486918449401855, 7.131356716156006, 11.039222717285156, 20.353567123413086]",20.353567123413086,0.9559302926063538,0.20143230836156278,1.1929166666666666,"[0.4239944815635681, 0.31930264830589294, 0.17030872404575348, 0.08639402687549591]","[0.4188942611217499, 0.3150649070739746, 0.1771700382232666, 0.08887074887752533]",0.32251517807006835,0.12370561798095703
128000,0.11226592108595208,0.10782102488938954,"[4.347360134124756, 8.206975936889648, 18.80902099609375, 12.984692573547363]",18.80902099609375,0.9647243022918701,0.19575352209845104,1.156625,"[0.5364616513252258, 0.30059707164764404, 0.003942196257412434, 0.15899908542633057]","[0.5299252867698669, 0.2988167107105255, 0.013293709605932236, 0.15796414017677307]",0.2746886834716797,0.10081320449829101
136000,0.10961765691420025,0.10620372860238003,"[8.58422565460205, 4.135965824127197, 27.605690002441406, 4.245323181152344]",27.605690002441406,0.9713860750198364,0.19167073817551006,1.1264705882352941,"[0.369650661945343, 0.5601966381072998, 0.0701463595032692, 6.40992993794498e-06]","[0.36493077874183655, 0.5512894988059998, 0.07345026731491089, 0.010329529643058777]",0.2379070881652832,0.08089465999603271
144000,0.10158149177805553,0.09784888322435803,"[10.894915580749512, 6.668161392211914, 23.18808364868164, 5.193546295166016]",23.18808364868164,0.9572444558143616,0.18639629049413373,1.1871041666666666,"[0.2676209807395935, 0.2712957262992859, 0.06910098344087601, 0.3919823467731476]","[0.2693113684654236, 0.26982972025871277, 0.07310377806425095, 0.3877551853656769]",0.3174598794555664,0.12073753219604492
152000,0.10794289436400994,0.10525980845254716,"[4.161844253540039, 2.3639938831329346, 9.66484546661377, 15.415069580078125]",15.415069580078125,0.9686501026153564,0.18121449006071666,1.1381118421052632,"[0.5374647378921509, 2.09696008823812e-05, 0.17113803327083588, 0.2913763225078583]","[0.5303773283958435, 0.010549367405474186, 0.17113785445690155, 0.287935346364975]",0.2633911407470703,0.08923389839172363
160000,0.09779601048911597,0.09458803025089856,"[7.633848667144775, 4.664597034454346, 8.26152515411377, 28.90679359436035]",28.90679359436035,0.9657330513000488,0.1785924512812639,1.14971875,"[0.3210342824459076, 0.4359915256500244, 0.1833564043045044, 0.05961770936846733]","[0.3190390169620514, 0.432655930519104, 0.18503721058368683, 0.06326797604560852]",0.25709668731689456,0.09682147567749023
168000,0.09811613147287884,0.09493330176190401,"[22.781705856323242, 4.46520471572876, 11.510236740112305, 6.84817361831665]",22.781705856323242,0.9591487646102905,0.17424131385271016,1.1786309523809524,"[0.08752645552158356, 0.4495130777359009, 0.13884641230106354, 0.32411399483680725]","[0.08935178816318512, 0.4438135027885437, 0.14611099660396576, 0.32072386145591736]",0.29841871856689456,0.11434326789855957
176000,0.09781393460815198,0.0945016759386208,"[8.117264747619629, 21.611764907836914, 12.342924118041992, 4.3418450355529785]",21.611764907836914,0.9610660672187805,0.17063606030282968,1.1689829545454546,"[0.30973851680755615, 0.10849348455667496, 0.18709291517734528, 0.39467519521713257]","[0.30738067626953125, 0.10958307981491089, 0.1908567249774933, 0.392179399728775]",0.2928822816467285,0.10967024757385253
184000,0.0950888191672226,0.09208611335112706,"[4.3430304527282715, 14.353062629699707, 8.664386749267578, 17.947294235229492]",17.947294235229492,0.9642711281776428,0.16698907484558403,1.1563695652173913,"[0.5068119764328003, 0.1278221309185028, 0.24309779703617096, 0.1222681850194931]","[0.5026745796203613, 0.13266927003860474, 0.24122607707977295, 0.12343006581068039]",0.2663919534301758,0.10111077392578124
192000,0.09847850047424785,0.09590224932458165,"[1.5709030628204346, 24.03601837158203, 7.589226245880127, 4.363795757293701]",24.03601837158203,0.9729471206665039,0.16457203754534147,1.119921875,"[2.4519006274204003e-06, 0.13147905468940735, 0.3362162113189697, 0.53230220079422]","[0.010128031484782696, 0.1315235197544098, 0.33237963914871216, 0.5259687304496765]",0.2278298844909668,0.07696502349853515
200000,0.09225018827424311,0.08940027242422734,"[8.292000770568848, 29.83781623840332, 6.734571933746338, 5.6433186531066895]",29.83781623840332,0.967643141746521,0.16203584971256596,1.141195,"[0.21043714880943298, 0.04295350983738899, 0.3566879630088806, 0.3899213671684265]","[0.2102074772119522, 0.04730095714330673, 0.35384702682495117, 0.38864460587501526]",0.24565511260986328,0.09230354244232178
208000,0.09340638791607259,0.09075076387414933,"[10.312262535095215, 15.22260570526123, 4.689876556396484, 7.753772735595703]",15.22260570526123,0.9632846713066101,0.15792783530659915,1.1602980769230768,"[0.20189853012561798, 0.08680898696184158, 0.3955857455730438, 0.3157067894935608]","[0.20135173201560974, 0.0915895402431488, 0.39423075318336487, 0.31282803416252136]",0.27564459793090823,0.1041098908996582
216000,0.0910885424687659,0.0885631741849275,"[23.242084503173828, 4.4357757568359375, 14.208311080932617, 7.808650970458984]",23.242084503173828,0.9684407711029053,0.15618164165743836,1.138064814814815,"[0.06790865957736969, 0.5193294286727905, 0.09080947190523148, 0.32195234298706055]","[0.07000934332609177, 0.5144402980804443, 0.09641119837760925, 0.3191392719745636]",0.23750171157836913,0.08961922058105469
224000,0.09345632711721256,0.09093354999370082,"[6.24509334564209, 14.51759147644043, 14.244670867919922, 4.941737651824951]",14.51759147644043,0.9639669060707092,0.1527937980813972,1.1572455357142857,"[0.2255983054637909, 0.14444921910762787, 0.1743990033864975, 0.4555535912513733]","[0.22996215522289276, 0.14708179235458374, 0.17255306243896484, 0.45040300488471985]",0.27113450057983396,0.10113523979187011
232000,0.08903899006323074,0.08661581324009836,"[27.07088279724121, 13.899856567382812, 7.069535255432129, 4.482174396514893]",27.07088279724121,0.9677994847297668,0.15162536282531444,1.1409956896551725,"[0.0672132670879364, 0.08392387628555298, 0.34469491243362427, 0.5041680932044983]","[0.06930427998304367, 0.08977027982473373, 0.3413267135620117, 0.49959880113601685]",0.24146879104614258,0.09025095405578613
240000,0.09355127573820404,0.0914929297074561,"[24.836387634277344, 6.9076690673828125, 2.854067802429199, 4.5235443115234375]",24.836387634277344,0.9738456010818481,0.14927040263198166,1.1149666666666667,"[0.12884673476219177, 0.37694472074508667, 0.0, 0.49420851469039917]","[0.12914413213729858, 0.3730657398700714, 0.008366649970412254, 0.489423543214798]",0.22020861892700194,0.07431896926879883
248000,0.09393645343210212,0.09130423070338743,"[8.169631004333496, 14.628252983093262, 25.837411880493164, 4.541386604309082]",25.837411880493164,0.9746331572532654,0.14720588329045942,1.1110725806451613,"[0.3424588739871979, 0.163167804479599, 0.00121013424359262, 0.4931632876396179]","[0.3406667113304138, 0.16306830942630768, 0.005601796787232161, 0.49066323041915894]",0.2047397766113281,0.07218615474700928
256000,0.08621024539671428,0.08405302646232088,"[4.52514123916626, 29.028535842895508, 13.108284950256348, 6.8086347579956055]",29.028535842895508,0.9660799503326416,0.14530095834047754,1.1485546875,"[0.4741857051849365, 0.07236074656248093, 0.09441211074590683, 0.35904157161712646]","[0.46998921036720276, 0.07376466691493988, 0.10032501816749573, 0.3559209704399109]",0.25271682342529295,0.0956439981842041
264000,0.09014042588170794,0.08786347027147431,"[8.06243896484375, 8.011079788208008, 14.2268705368042, 5.410037994384766]",14.2268705368042,0.9646781086921692,0.14212182558602382,1.1533598484848484,"[0.3080836236476898, 0.2852896451950073, 0.15942701697349548, 0.2471996694803238]","[0.305878609418869, 0.2853868901729584, 0.15913234651088715, 0.24960221350193024]",0.2697317205810547,0.09952131462097168
272000,0.08570843305815325,0.08351841684657317,"[11.50549030303955, 8.104113578796387, 33.0839958190918, 4.596681594848633]",33.0839958190918,0.9651165008544922,0.14167840852391758,1.1530330882352942,"[0.14178608357906342, 0.3200262784957886, 0.07505691796541214, 0.4631307125091553]","[0.14787708222866058, 0.3172430992126465, 0.0759652629494667, 0.45891448855400085]",0.2632788298034668,0.09943564071655274
280000,0.09054484501851488,0.08860446833377796,"[4.154470443725586, 9.777275085449219, 1.8030517101287842, 28.74365997314453]",28.74365997314453,0.9750089049339294,0.1397135611762725,1.110232142857143,"[0.5517092347145081, 0.341682106256485, 0.0, 0.1066085547208786]","[0.5467318892478943, 0.33847734332084656, 0.008568034507334232, 0.10622263699769974]",0.2130836524963379,0.07175035087585449
288000,0.08405466401970006,0.08204157506964437,"[5.317341327667236, 9.999759674072266, 32.311439514160156, 5.860237121582031]",32.311439514160156,0.9634827375411987,0.13809823566916857,1.1595243055555555,"[0.3062378764152527, 0.27082559466362, 0.05380220338702202, 0.3691343665122986]","[0.3046409785747528, 0.2737976610660553, 0.05565363168716431, 0.3659076690673828]",0.2741261791992187,0.10371849761962891
296000,0.08454319788744837,0.0825614096768195,"[8.679628372192383, 4.702563285827637, 24.69239616394043, 8.579147338867188]",24.69239616394043,0.9647594690322876,0.1360181099667231,1.1534459459459458,"[0.18336895108222961, 0.4038333594799042, 0.11286972463130951, 0.2999279201030731]","[0.1890581250190735, 0.4002316892147064, 0.11323922872543335, 0.29747089743614197]",0.2683716781616211,0.09902564178466797
304000,0.09005721477643296,0.08869260926309998,"[1.3599309921264648, 16.09076499938965, 4.771737575531006, 6.946293354034424]",16.09076499938965,0.9701456427574158,0.1337881324093463,1.1317138157894737,"[9.683586768005625e-07, 0.2902359068393707, 0.4183405041694641, 0.2914227843284607]","[0.01005774736404419, 0.2857651710510254, 0.4162604808807373, 0.2879166901111603]",0.24823825302124022,0.08425623710632324
312000,0.0828102099695804,0.08078747279291049,"[14.119219779968262, 29.828580856323242, 7.9650163650512695, 4.383142471313477]",29.828580856323242,0.966271162033081,0.13319250769909935,1.1482403846153846,"[0.12989506125450134, 0.08916294574737549, 0.30480438470840454, 0.47613754868507385]","[0.13515566289424896, 0.08982402086257935, 0.30189749598503113, 0.47312286496162415]",0.25523112213134763,0.0959389892578125
320000,0.08225200068582703,0.0800967237041057,"[6.46668815612793, 32.96881866455078, 5.068592071533203, 10.923397064208984]",32.96881866455078,0.9695681929588318,0.13188199951845825,1.1326125,"[0.3451000452041626, 0.0605166032910347, 0.4350554943084717, 0.15932774543762207]","[0.34325507283210754, 0.06347289681434631, 0.4333237111568451, 0.15994830429553986]",0.2294979365539551,0.08618675842285156
328000,0.08842811178783001,0.08642061294760607,"[7.853260517120361, 4.258801460266113, 33.053836822509766, 16.313249588012695]",33.053836822509766,0.9780746698379517,0.1305046621804438,1.0950640243902439,"[0.37271952629089355, 0.5390780568122864, 0.08791318535804749, 0.00028914076392538846]","[0.37162908911705017, 0.5362081527709961, 0.08862323313951492, 0.0035395852755755186]",0.17865661575317382,0.0624663374710083
336000,0.08147574778281261,0.07964444672368556,"[5.047976016998291, 30.86908531188965, 10.93835735321045, 6.106266975402832]",30.86908531188965,0.9685258269309998,0.12896067418443502,1.1368244047619047,"[0.44070661067962646, 0.07690846174955368, 0.15055155754089355, 0.3318333625793457]","[0.4393761456012726, 0.07950419187545776, 0.15124468505382538, 0.3298748731613159]",0.2387863066101074,0.08961285758972168
344000,0.08825655593511082,0.08654038004197766,"[11.013336181640625, 2.039541721343994, 23.359479904174805, 4.142003059387207]",23.359479904174805,0.9767076969146729,0.12726613012255686,1.102747093023256,"[0.25163203477859497, 0.0, 0.1130358874797821, 0.6353320479393005]","[0.2528887391090393, 0.007966084405779839, 0.11254458874464035, 0.6266005039215088]",0.19660909729003906,0.06586450466156006
352000,0.08068985916222793,0.07905581357619142,"[8.057271003723145, 4.30653190612793, 22.20153045654297, 15.350800514221191]",22.20153045654297,0.9672532081604004,0.12584802146189042,1.1433607954545455,"[0.27505382895469666, 0.5046948194503784, 0.10734030604362488, 0.11291102319955826]","[0.2736853063106537, 0.50151127576828, 0.1079389676451683, 0.11686437577009201]",0.24435043075561524,0.09206384757995606
360000,0.08584500837705612,0.08418313257219524,"[36.635337829589844, 7.157241344451904, 1.3613401651382446, 4.123270034790039]",36.635337829589844,0.977347731590271,0.12537373464818036,1.0998555555555556,"[0.06064031645655632, 0.3540007472038269, 1.3836906873621047e-06, 0.5853575468063354]","[0.0606861487030983, 0.3512496054172516, 0.007516018580645323, 0.5805482268333435]",0.1874166680908203,0.06392430789947509
368000,0.08686521733044204,0.08526283509599229,"[4.571763515472412, 2.1337294578552246, 28.83110809326172, 5.821793079376221]",28.83110809326172,0.9755059480667114,0.12381090590848952,1.1069021739130436,"[0.5378282070159912, 0.0, 0.11223934590816498, 0.34993234276771545]","[0.5321210026741028, 0.006543142721056938, 0.11207029223442078, 0.349265456199646]",0.20199005737304687,0.06985488254547119
